ID	WT_GpB_1	WT_GpB_2	WT_GpA_1	WT_GpA_2	WT_GpA_3	WT_GpA_4	WT_GpA_5	WT_GpA_6	GpB_1	GpB_2	GpA_1	GpA_2	GpA_3	GpA_4	GpA_5	GpA_6
NAF1	520	234	830	461	394	821	787	450	403	186	364	195	141	257	282	248
NAGA	648	670	764	1173	1228	1195	1403	636	244	230	154	172	196	197	212	105
NAGK	1180	669	2463	1294	2063	1365	781	687	639	375	548	219	535	431	187	155
NAGLU	430	313	698	579	897	433	429	562	90	60	118	148	188	80	105	211
NAGPA	291	262	397	330	341	244	345	380	53	54	70	38	36	40	62	56
NAIF1	281	205	556	349	411	396	444	448	30	27	41	27	38	23	34	36
NAMPT	1977	8288	769	1334	2812	1541	1495	885	308	2088	281	366	798	498	346	121
NANS	947	549	1295	3982	2955	1028	1543	1311	225	187	142	225	287	116	163	188
NAP1L1	41361	45250	20811	22599	29782	29242	29704	20867	1400	3893	1229	2297	1993	2241	3167	1719
NAP1L4	6657	4526	7568	5846	4168	8370	9135	6622	1050	1257	1001	880	717	1264	990	902
NAPA	1845	1223	2918	3610	2774	2364	3456	2788	753	485	581	522	445	410	462	486
NAPG	1024	667	1001	498	1093	763	967	589	106	139	104	97	165	130	118	73
NAPRT	400	152	292	854	272	361	319	601	160	67	90	183	62	129	108	231
NAPSA	55	24	96	72	70	42	54	68	64	35	56	39	38	43	69	52
NARF	743	460	1130	710	862	599	666	908	76	82	99	67	102	89	127	96
NARFL	462	223	669	563	633	445	574	448	107	57	97	62	82	74	92	64
NARS	5480	4870	4084	2215	3956	4102	4625	2422	805	1034	835	665	760	884	682	528
NARS2	933	594	1120	455	495	1106	1181	761	194	96	120	57	55	100	83	68
NASP	4564	4082	4379	4785	4189	8884	5199	3648	553	965	511	638	653	1225	531	426
NAT10	2548	2056	3582	3775	2605	4339	4198	2084	1044	856	735	600	628	906	942	529
NAT6	195	140	277	488	303	241	271	304	39	22	48	44	57	30	45	70
NAT9	1101	683	1210	1334	940	1259	1604	854	72	61	45	51	42	64	68	41
NAV1	592	2243	545	1047	469	637	321	622	164	409	92	109	36	86	40	144
NBAS	1438	1049	1549	1324	2031	1639	1969	1020	302	362	343	314	520	427	500	258
NBEAL1	154	170	125	118	244	81	156	128	71	61	98	102	175	87	105	85
NBEAL2	2856	3601	5710	5013	11416	4454	4394	1645	1209	999	1331	751	2235	862	786	475
NBN	4275	5703	2226	1415	1327	2409	2984	2493	755	767	732	625	497	835	906	561
NBPF10	237	333	161	230	111	198	138	188	40	81	102	55	69	151	111	58
NBR1	3684	2300	5358	2629	2656	3356	4735	4322	795	635	852	511	449	443	728	754
NCAPD2	2156	4949	3741	7725	5749	7119	3897	8209	419	1642	600	1434	896	976	544	1557
NCAPD3	966	1228	1525	1876	1811	3190	2244	2727	267	470	387	384	389	467	409	537
NCAPG	200	1902	192	597	917	739	236	909	41	418	40	407	241	236	42	186
NCAPG2	579	1729	661	1446	1476	1984	1030	1642	93	325	94	382	282	313	148	303
NCAPH	123	1150	238	1166	1390	1355	404	1216	69	477	97	374	335	259	61	290
NCAPH2	1515	1069	2077	2976	2276	2980	1963	2392	292	183	217	346	217	299	220	352
NCBP1	2132	1458	1703	1877	1773	1980	2261	1423	483	396	348	356	351	336	284	252
NCBP2	3383	2003	2932	1638	2567	2695	2956	2385	276	189	166	159	124	164	98	158
NCDN	516	381	790	1430	812	786	976	800	233	151	160	238	176	161	184	228
NCEH1	210	294	263	185	423	204	191	245	41	80	77	39	69	36	42	50
NCF1	823	978	923	1364	696	775	1214	1364	727	397	592	414	322	495	769	655
NCF2	4535	1635	12313	3687	7288	5228	3568	6433	1257	615	1815	707	1080	838	553	1045
NCF4	194	410	291	400	327	434	395	584	80	120	61	70	40	65	93	122
NCK1	885	592	542	535	686	449	817	662	137	117	87	99	83	64	83	71
NCK2	5681	1373	6111	2874	2638	4500	7823	1084	587	184	525	299	392	709	1230	223
NCKAP1L	12835	8703	18709	15566	13027	16758	21965	9268	5930	3757	4101	3052	2933	3290	4027	2453
NCKAP5L	397	245	560	752	436	505	726	307	130	52	69	74	39	57	80	68
NCKIPSD	552	509	704	573	370	727	626	777	134	122	111	97	54	106	117	162
NCL	39194	24097	25489	22529	21631	29585	33939	20209	5390	7144	4122	5391	3823	6486	4360	4874
NCLN	1714	1242	1546	2882	1169	1644	2652	1678	276	165	179	278	151	223	232	320
NCOA1	3118	1017	3267	2402	2681	2189	3005	2308	416	146	731	386	540	377	577	384
NCOA2	3025	1047	2605	1830	1618	2346	2662	2227	701	260	856	468	477	572	565	619
NCOA3	12739	5825	15945	5471	9746	7998	12100	12891	2207	972	3571	1252	2051	1457	2054	2150
NCOA4	4804	3837	5112	3345	5940	4629	4919	4866	1177	1366	979	848	1024	855	710	584
NCOA5	2039	1233	3552	2558	2377	2565	3092	2739	456	288	339	277	242	236	232	285
NCOA6	1624	1305	2413	2372	2134	1911	2532	1834	380	192	556	401	567	362	530	498
NCOA7	1256	1140	823	447	424	698	874	691	197	202	256	172	162	299	426	164
NCOR1	8784	4845	8787	5321	6151	5932	7797	6226	1234	814	2138	1130	1407	1325	1547	1588
NCOR2	5254	4895	7086	8262	4527	5071	6326	3287	1870	890	1460	948	790	886	767	927
NCSTN	2423	1551	3993	3299	4139	2768	3889	3555	1357	832	1115	600	935	556	845	733
NDC1	1563	1567	1260	2160	1380	1847	2022	2138	177	174	124	151	122	117	155	165
NDC80	108	938	69	245	434	366	104	518	24	379	46	241	234	171	28	163
NDE1	3895	1752	7336	4604	4332	5030	4419	2908	496	424	480	386	487	447	386	293
NDEL1	1238	711	1901	1570	1740	1361	1542	1131	225	156	177	226	249	185	291	124
NDFIP1	2656	1576	3385	5668	4460	2081	2254	2679	384	363	378	242	305	145	144	240
NDFIP2	1208	1102	1007	496	623	466	1122	730	225	221	199	92	111	78	119	112
NDNL2	556	396	819	449	806	627	715	479	194	144	166	139	181	155	261	113
NDOR1	602	913	916	1107	662	1067	836	594	165	120	137	112	75	147	99	117
NDRG1	199	1993	374	769	1601	302	267	566	161	769	196	134	277	63	53	102
NDRG2	209	29	204	529	268	249	185	459	139	39	48	85	45	38	34	69
NDRG3	831	565	1220	1105	1040	1241	1422	1313	261	153	196	140	150	142	170	159
NDST1	579	613	1236	1981	1933	978	1333	1368	76	54	75	133	102	101	78	81
NDST2	1166	805	1859	2083	1268	1439	1984	1597	108	92	227	168	195	216	224	259
NDUFA1	1527	1091	2443	1585	1394	1626	1707	1392	512	361	351	283	283	340	180	274
NDUFA10	1530	1330	2380	1614	2324	1945	2570	1466	479	388	360	234	352	264	358	219
NDUFA11	2042	1169	1477	2701	1630	2209	2474	2064	585	385	396	395	233	439	552	546
NDUFA12	595	734	502	736	553	732	678	579	471	478	312	337	289	346	192	233
NDUFA13	1095	1138	1099	1481	908	1030	996	990	1238	1035	703	812	540	801	1037	794
NDUFA2	1506	680	1693	1243	1125	1417	1677	1252	632	447	465	301	283	374	417	306
NDUFA3	547	455	620	750	409	683	597	689	840	394	459	406	260	508	304	517
NDUFA4	1257	1119	1303	1095	973	1172	1384	1356	1620	1297	855	552	508	551	393	431
NDUFA5	1042	1056	479	371	596	467	613	607	96	146	102	64	84	103	50	42
NDUFA6	827	814	776	854	673	839	654	761	363	355	258	222	214	264	172	238
NDUFA7	183	307	250	294	143	198	155	190	693	330	308	348	199	420	467	369
NDUFA8	596	393	804	815	647	625	730	682	223	230	151	135	122	149	116	123
NDUFA9	1230	1300	1608	2038	1467	1949	2411	1701	467	589	307	393	284	375	367	340
NDUFAB1	588	577	783	839	634	776	747	647	549	537	290	419	328	376	253	252
NDUFAF1	692	360	768	514	587	844	733	796	78	107	70	55	48	73	41	67
NDUFAF2	97	143	114	135	173	209	156	92	40	96	35	53	69	95	51	29
NDUFAF3	563	618	762	906	648	695	641	708	328	273	246	267	189	290	446	346
NDUFAF4	583	326	364	214	216	409	466	327	153	169	119	69	98	111	97	59
NDUFAF5	220	187	205	209	211	194	245	154	29	41	25	38	31	27	48	29
NDUFAF6	236	230	210	278	207	263	288	224	41	33	46	32	30	32	47	47
NDUFAF7	284	263	321	300	457	281	319	260	33	48	54	62	85	54	77	67
NDUFB1	713	567	953	901	730	1086	876	929	192	202	178	188	154	164	138	204
NDUFB10	978	753	1166	1003	938	928	875	1065	395	329	286	188	205	228	282	225
NDUFB11	1314	853	1720	1575	1371	1484	1510	1212	733	565	655	439	452	646	900	568
NDUFB2	437	453	681	661	591	534	527	573	416	379	297	373	379	362	357	268
NDUFB3	1084	796	1169	812	955	1215	1162	853	224	501	168	204	230	303	135	87
NDUFB4	617	594	696	650	582	725	704	712	1197	774	958	478	497	676	463	624
NDUFB5	1143	894	1496	734	1156	1226	1143	1364	354	413	372	207	284	274	256	306
NDUFB6	635	417	657	889	487	788	678	633	446	373	280	242	136	257	155	273
NDUFB7	693	618	885	1289	543	770	770	800	265	189	173	238	119	207	255	311
NDUFB8	883	793	1168	1004	765	952	1005	751	881	517	551	338	360	499	612	343
NDUFB9	2352	1461	2027	3521	2320	3063	2877	1892	888	649	465	443	385	615	455	381
NDUFC1	372	268	432	465	544	331	390	463	275	130	181	189	164	104	159	260
NDUFS1	2390	1691	2625	2957	3767	3151	3103	2601	596	807	489	668	675	516	353	510
NDUFS2	2781	1603	3318	5186	4213	3515	4077	2841	1183	807	679	666	816	655	659	526
NDUFS3	975	779	1211	1685	1108	1146	1174	1288	423	469	399	502	382	454	416	542
NDUFS4	1044	501	970	1213	934	939	972	831	295	186	211	228	278	254	119	190
NDUFS5	2172	882	1247	2037	1768	2075	2666	1848	623	359	326	406	284	386	274	321
NDUFS6	410	500	441	581	398	452	439	438	275	336	103	229	176	195	218	139
NDUFS7	502	451	374	798	385	423	540	470	397	307	219	220	153	210	293	252
NDUFS8	551	639	515	1173	580	705	691	794	316	272	247	251	196	286	356	335
NDUFV1	2912	2594	3699	4820	2369	4497	4702	3771	1110	1151	942	934	581	1282	1769	1289
NDUFV2	1140	1556	1459	1337	1298	1278	1202	1361	1114	1204	803	809	750	807	633	668
NDUFV3	371	314	515	373	443	520	469	406	179	141	164	122	155	162	151	178
NECAP1	415	460	555	586	726	567	780	661	97	64	84	84	95	68	80	88
NECAP2	10275	5465	22791	8222	3954	11252	14914	16818	2112	813	1918	750	286	817	1143	2157
NEDD1	1692	2251	954	600	703	851	970	900	242	298	235	198	217	238	198	152
NEDD4L	454	348	421	749	510	467	780	330	94	97	97	111	114	123	166	58
NEDD9	2210	591	2541	1099	741	2638	2067	1920	447	103	410	203	112	328	313	384
NEIL2	623	289	771	756	633	848	1001	619	45	40	45	50	61	76	79	51
NEK1	484	739	606	214	304	309	597	473	40	56	80	62	98	62	120	77
NEK3	1169	570	1139	283	656	438	566	355	210	77	128	59	99	69	72	43
NEK4	790	712	780	559	749	678	724	740	79	99	106	137	122	143	145	130
NEK6	3158	1836	13946	3633	3061	4306	4869	4928	951	509	1300	400	371	594	719	643
NEK7	2493	2111	1539	1051	2767	945	1265	1262	126	161	182	133	275	93	91	111
NEK8	607	425	1171	497	354	700	1065	817	158	85	196	76	55	107	132	170
NEK9	4327	2931	6514	4550	4695	6234	6653	4404	1116	830	815	651	639	780	811	537
NELFA	725	561	948	967	862	846	844	661	427	203	325	199	259	218	295	225
NELFB	2251	1351	3457	2815	2576	2680	2833	2262	336	219	390	342	345	310	347	317
NELFCD	1953	1280	3213	3151	1338	3337	2294	2756	545	411	557	392	241	614	483	641
NELFE	1122	796	1183	1953	1227	1609	1463	1239	278	227	180	190	181	196	252	198
NEMF	2194	2699	1366	664	886	843	1061	1130	400	438	533	377	542	483	452	357
NEMP1	1584	2438	1893	1613	2998	3135	2028	1631	106	216	178	169	244	226	107	151
NENF	1160	848	1522	1318	2407	1761	1871	1141	65	61	71	114	168	117	355	97
NEO1	983	92	1206	1706	526	857	1711	972	213	45	161	189	82	151	186	218
NEU1	716	459	1191	740	905	596	814	671	225	136	176	140	164	123	164	148
NEU3	300	214	601	333	285	529	554	412	87	52	64	41	32	59	42	62
NEURL4	998	538	1255	2034	1337	1335	1089	970	186	105	194	203	172	177	154	233
NF1	1554	684	1296	1121	1521	1469	1316	944	237	115	337	301	441	353	308	230
NF2	2002	861	2211	3193	1706	2154	2633	2161	125	134	159	200	148	175	214	228
NFAT5	8543	5158	4774	3547	3375	4316	5518	3652	1640	507	1763	769	1026	995	865	762
NFATC1	1045	1011	2577	1498	2149	1908	1483	1639	410	314	648	372	563	541	401	547
NFATC2	3471	1326	6323	2395	5222	3724	4189	3147	790	289	1127	450	832	583	607	614
NFATC2IP	1675	1699	2641	2584	2918	3090	2566	2574	208	168	295	194	224	219	149	261
NFATC3	3619	2189	4229	3013	3734	3482	4427	3696	469	305	619	477	681	509	746	587
NFE2L1	10390	11468	22945	11124	15466	16037	14644	11252	1183	1193	1565	581	838	839	639	813
NFE2L2	2833	2895	1570	1180	2253	1281	1815	1027	767	735	711	400	911	491	449	287
NFE2L3	433	419	471	271	255	458	548	1044	62	118	91	64	54	60	73	162
NFIC	775	683	1036	1416	1100	1120	975	1334	119	112	120	144	99	102	83	194
NFIL3	4657	4263	3522	1237	388	4377	6654	3175	931	1076	486	307	80	529	1024	547
NFIX	216	150	529	1063	749	642	459	226	42	34	34	62	61	49	69	30
NFKB1	15624	10208	28998	13921	13392	23566	26760	5178	4701	3458	3467	2156	2800	4195	6173	1103
NFKB2	14944	9101	24125	14499	17793	18035	17830	6413	8908	4234	5878	3049	5372	5373	5673	2275
NFKBIA	22365	19053	38164	21309	24019	21361	19750	10330	8988	7868	7591	3429	5267	4781	5347	3199
NFKBIB	1031	535	1094	1462	1041	1144	1265	725	474	185	302	304	288	362	412	254
NFKBID	1517	1093	2757	1745	1205	1562	1266	1096	229	103	389	183	212	291	343	305
NFKBIE	7054	2437	11507	4245	12913	3809	5577	2803	1305	481	1070	487	1206	427	663	368
NFKBIL1	510	268	618	592	629	576	564	256	83	30	55	62	57	64	62	67
NFKBIZ	5929	3747	5509	3723	3230	3389	4456	3722	1103	558	1339	889	848	896	1178	1219
NFRKB	893	633	1658	1428	1118	1362	1391	1147	293	170	306	211	204	237	247	303
NFS1	554	437	1031	788	796	905	1062	784	238	133	191	129	145	174	183	146
NFU1	455	322	670	369	545	474	373	291	78	153	180	141	228	235	181	149
NFX1	2429	1653	3472	2324	3374	2741	2159	3641	456	332	610	424	578	502	368	598
NFXL1	665	445	460	364	742	349	488	439	73	77	90	106	163	92	73	97
NFYA	1152	1013	1209	1085	1326	1321	1454	1176	128	125	137	114	99	80	75	143
NFYB	1266	1326	498	699	500	689	871	708	44	75	40	62	45	65	41	54
NFYC	920	892	1314	1249	1116	1055	1173	1230	295	402	525	304	341	312	325	445
NGDN	1035	557	1011	844	794	966	1080	849	175	166	183	124	140	153	198	170
NGLY1	1317	995	1218	827	1300	1034	1175	2040	153	143	206	199	194	159	271	356
NGRN	1765	1015	2971	1727	1558	2201	2511	1711	117	80	93	114	86	112	204	127
NHEJ1	723	529	1076	697	839	1125	1264	1193	118	112	119	66	85	90	117	89
NHLRC2	793	456	539	479	638	635	698	687	197	153	218	227	209	184	249	239
NHLRC3	756	681	649	377	782	670	613	410	42	46	52	39	81	41	42	30
NHP2	882	910	859	1325	479	1019	1038	692	371	298	220	199	141	317	324	261
NHP2L1	3403	2127	4904	3550	3221	4129	4475	3103	879	563	675	569	502	559	722	671
NIF3L1	854	527	1017	641	596	951	1085	770	266	188	189	116	113	153	153	122
NIFK	2495	1633	1299	1418	1253	1904	2336	1323	467	474	249	410	322	501	298	221
NIN	7349	7281	4194	1815	6026	3504	3522	1746	419	484	711	595	1424	826	732	374
NINJ1	560	1666	461	987	952	762	342	709	93	411	59	136	104	132	63	111
NIP7	861	710	962	890	857	1013	1036	841	170	188	125	135	129	190	165	98
NIPA1	1465	1509	1704	482	1241	787	1062	2556	64	51	91	46	46	37	35	98
NIPA2	2916	2342	3066	2201	2956	2430	3157	3037	199	205	212	171	237	120	279	210
NIPAL3	1479	549	4286	1281	2525	2037	2920	1774	84	26	186	60	117	68	83	98
NIPBL	4289	5754	2851	1841	1857	2285	2360	2645	709	673	1079	756	995	918	1237	787
NIPSNAP1	1869	2021	3440	1887	2355	3094	2767	2697	335	353	334	208	231	300	366	296
NIPSNAP3A	426	373	350	428	513	415	347	435	79	73	51	54	54	53	34	45
NISCH	1720	1272	2234	4355	1772	2699	2882	3013	627	362	457	571	310	420	333	678
NIT1	722	526	1526	1151	1711	1289	928	874	312	234	369	161	296	246	153	175
NIT2	968	921	1119	1076	989	1253	1151	717	795	523	364	412	423	516	337	252
NKAP	951	626	818	402	517	576	668	464	188	186	135	115	106	103	183	125
NKIRAS2	916	873	1733	1279	1075	1370	1462	1141	55	58	58	71	56	88	64	66
NKRF	1399	996	1082	815	984	1026	1390	1314	189	204	189	196	210	191	182	225
NKTR	2201	3321	1590	702	1136	987	1465	1322	243	122	502	238	346	276	248	319
NLE1	979	541	934	1268	684	1936	1520	629	131	76	72	116	74	207	206	95
NLK	795	512	704	774	530	534	929	557	30	28	56	63	65	58	136	67
NLN	809	763	525	578	664	658	849	471	175	183	93	134	136	159	154	84
NLRC3	1065	527	1199	660	419	1014	1006	1408	86	41	123	43	23	65	42	130
NLRC5	6712	2656	16633	12400	12021	9983	14429	13281	1313	533	2626	1241	1293	1090	1261	2242
NLRP1	577	512	1192	925	906	1329	1126	1181	153	115	228	129	154	194	132	222
NLRX1	223	272	330	411	419	441	298	379	48	39	45	59	45	63	27	65
NMD3	1936	1596	921	720	1261	876	1172	1149	249	324	237	279	330	272	405	195
NME1	751	698	562	1787	570	1176	1235	662	222	255	64	119	72	151	165	56
NME3	1040	430	1248	470	626	709	1143	768	296	127	266	69	77	128	166	130
NME6	866	550	973	1081	912	757	1021	888	138	62	100	69	78	69	74	71
NME7	122	62	134	125	211	106	89	50	80	36	60	73	122	58	37	33
NMI	879	1243	1172	495	690	1183	1044	1023	181	378	351	187	247	370	247	244
NMNAT1	465	211	428	264	315	373	359	234	73	54	60	27	30	55	32	27
NMRAL1	351	292	592	653	377	800	509	942	102	91	141	112	83	168	149	235
NMT1	7874	3747	14366	9439	6730	9744	11702	12794	1741	882	1399	1036	756	1044	901	1462
NMT2	518	198	639	1424	816	1006	623	1007	51	25	31	67	41	47	40	50
NNT	1233	1293	1478	1163	2089	1536	1296	1743	321	345	334	405	564	345	289	391
NOA1	1117	907	1185	1236	1015	1330	1247	962	294	212	373	342	387	552	663	472
NOB1	1761	1401	2227	2576	2074	2531	2535	2037	526	473	411	354	317	489	621	354
NOC2L	1539	1264	1639	2669	1222	1862	2309	1720	625	457	325	420	238	408	515	406
NOC3L	2635	1908	1626	852	1029	1746	1893	1161	435	450	482	278	324	567	463	294
NOC4L	314	263	261	637	336	366	298	313	281	166	143	192	124	149	145	206
NOCT	177	276	194	387	241	247	314	207	100	147	66	90	72	56	88	76
NOD1	1161	417	2234	1659	619	1889	1222	1458	133	40	151	133	64	125	73	213
NOD2	1495	879	2127	1875	1011	2778	1516	2145	221	117	289	219	132	362	173	471
NOL10	1182	932	730	645	664	799	1015	666	196	277	127	183	164	195	223	120
NOL11	2843	1774	1525	1265	1603	1986	2195	1479	927	685	566	495	518	566	504	352
NOL12	368	340	473	727	349	518	530	543	62	49	35	68	39	41	49	86
NOL4L	466	584	470	740	386	529	261	222	44	82	32	47	38	43	26	31
NOL6	1290	1066	1612	2790	1043	2183	2741	2053	529	342	362	358	179	361	470	541
NOL7	1250	1090	1238	863	1093	1160	1264	949	331	286	287	207	233	264	171	230
NOL8	1966	2307	1146	563	862	738	1121	905	225	253	322	236	321	279	417	251
NOL9	903	681	1362	1013	1001	1276	1373	1555	374	318	364	267	226	317	271	320
NOLC1	6971	6089	7951	8187	3916	10478	12064	6155	1600	1634	1048	1000	699	1517	1590	1110
NOM1	1101	866	1018	1242	1102	1265	1481	1071	106	118	86	126	94	119	132	145
NOMO1	244	535	363	393	351	356	382	314	169	490	139	242	190	284	328	110
NOMO2	578	857	816	1150	961	1009	1044	757	174	527	152	324	219	334	386	150
NOMO3	115	386	109	219	170	158	157	145	114	555	185	174	122	222	278	70
NONO	10156	8635	12652	12984	11845	15508	14265	9290	1835	2772	1715	1691	1603	2382	2026	1347
NOP10	1207	969	1421	2234	1288	1472	1743	1054	1091	790	930	575	608	744	368	630
NOP14	3678	2521	4796	4268	4213	6278	4490	2622	888	768	677	677	724	1143	945	581
NOP16	588	453	506	884	398	758	864	464	236	192	115	189	107	179	219	158
NOP2	2075	2445	2893	4077	2117	3225	3873	2805	678	759	445	485	323	422	502	537
NOP56	3018	3419	3620	5305	3060	5183	4994	3500	763	857	612	670	555	843	841	733
NOP58	9879	7018	4070	3130	3269	3656	5270	2502	1310	1485	1182	1011	1135	1239	1320	737
NOP9	1507	1168	2764	2709	2407	2837	2700	2167	324	189	248	222	190	246	228	204
NOSIP	847	486	875	1085	932	663	824	1119	432	302	360	328	236	257	428	464
NOTCH1	1445	976	2029	2320	1296	1836	1668	2011	1146	586	944	672	460	717	544	1060
NOTCH2	3213	2089	4525	5736	11572	4080	4018	3023	1253	779	1049	1267	2337	780	776	764
NOTCH2NL	406	567	408	554	340	551	465	369	50	69	74	55	99	74	59	51
NPAT	2158	2515	1444	533	795	1013	1080	1036	569	340	707	272	432	466	459	343
NPC1	496	788	1004	587	934	868	806	514	240	505	279	171	288	182	210	163
NPC2	2494	2033	3791	2102	3682	1944	3451	3790	271	390	334	170	283	114	215	262
NPEPPS	5630	2863	6539	3691	5768	5409	6053	3390	1065	830	884	701	896	780	775	471
NPHP4	96	109	146	189	231	202	196	118	27	27	33	22	34	39	37	23
NPIPB3	508	1417	224	247	204	302	285	359	139	225	183	114	116	226	223	96
NPIPB5	1399	2548	616	1046	523	919	931	926	247	229	267	177	135	290	253	171
NPLOC4	2001	2283	5077	4762	5891	2772	6036	4441	406	498	613	540	778	418	619	710
NPM1	21997	30221	11223	14487	16146	19756	18298	12545	3631	8034	1156	4272	2733	4503	3670	1468
NPM3	766	820	725	1301	679	1493	1054	916	233	243	152	138	143	279	221	188
NPRL2	584	334	824	709	546	796	904	773	255	116	216	136	131	169	174	183
NPRL3	1478	1339	1969	1456	1080	1726	2056	1296	311	218	318	208	183	309	327	305
NPTN	1686	1462	2139	2615	2545	1567	2275	1615	426	447	546	678	755	424	514	537
NQO2	92	284	199	154	158	234	248	136	29	81	27	29	30	31	57	33
NR1D1	642	201	868	863	1037	526	1011	278	140	51	134	60	224	98	165	34
NR1D2	1330	803	742	445	866	411	1164	672	42	66	72	62	80	49	169	66
NR1H2	1736	838	2023	2099	1940	1521	1696	1442	209	102	325	265	307	277	342	374
NR2C1	402	529	263	183	275	290	291	290	54	95	75	71	95	59	70	47
NR2C2	2027	1517	3497	1606	2474	2574	2901	2471	229	162	344	213	274	203	216	276
NR2C2AP	377	321	669	616	456	622	476	392	121	88	87	87	89	97	95	74
NR3C1	6440	3667	3866	2310	2840	2747	2482	4423	562	464	714	439	478	363	397	547
NR4A3	11578	10394	8250	6750	3549	4965	15146	7768	2195	1924	2094	1558	835	933	3028	2179
NRAS	5980	4023	4804	2828	4663	4127	5514	3673	172	266	190	202	249	187	270	166
NRBF2	631	558	591	719	632	584	538	552	87	157	181	85	118	134	153	100
NRBP1	3133	1978	5648	6068	5495	4067	4583	3702	1233	847	1034	838	1010	669	701	678
NRD1	6478	4804	5389	4627	6465	4594	5379	4079	1077	1148	1099	1109	1297	984	1270	917
NRDE2	708	452	910	717	833	930	742	568	140	138	139	85	84	128	118	95
NRF1	686	451	950	941	780	716	798	686	172	128	115	97	91	67	80	83
NRM	277	300	382	609	521	657	223	443	158	91	114	125	94	158	39	146
NRP2	181	1635	512	1473	878	570	684	640	196	625	109	226	102	141	130	156
NRROS	1869	950	3145	1558	2825	1176	2566	1035	825	326	1016	447	870	431	1193	479
NSA2	1931	1808	1059	984	1425	1106	1223	945	146	318	190	233	290	298	365	182
NSD1	4196	3296	5595	2472	4732	3508	4707	4437	430	410	639	433	558	353	409	619
NSDHL	397	448	354	743	495	457	494	456	156	196	96	86	127	96	90	72
NSF	4229	2021	3854	1253	2818	1722	2238	1887	1061	846	1116	441	635	385	471	329
NSFL1C	1516	1093	2121	2717	2190	1834	1681	2741	363	298	235	341	244	232	176	394
NSL1	1715	1395	1712	912	1407	1895	1656	1841	327	312	395	254	304	331	314	331
NSMAF	895	504	1016	677	1642	1018	1010	581	111	67	120	117	231	141	125	65
NSMCE1	1240	1143	2042	2190	1521	1830	1655	1870	224	350	254	225	245	307	255	383
NSMCE2	443	270	477	357	536	496	443	373	77	119	98	66	122	98	71	64
NSMCE4A	1117	646	1244	884	1056	1341	1262	500	304	217	215	164	215	219	258	115
NSRP1	1242	1228	950	327	587	650	782	522	253	188	280	178	220	323	242	199
NSUN2	4231	2937	6045	3375	5925	5539	7943	3941	720	930	717	629	813	691	1069	655
NSUN3	207	143	245	140	124	172	249	288	71	52	114	50	48	72	74	98
NSUN4	749	1110	1563	1205	1788	1720	1933	999	127	198	165	138	205	223	247	143
NSUN5	462	497	465	789	453	448	466	373	205	205	171	161	128	185	195	152
NSUN6	344	347	274	234	186	367	340	290	68	56	66	69	56	103	71	65
NT5C	536	441	742	760	284	712	608	658	182	105	104	110	45	147	159	170
NT5C2	1831	1749	1808	1874	2567	1558	1991	2065	290	337	343	336	440	281	252	285
NT5C3A	471	479	335	209	294	353	417	391	37	72	61	44	76	48	48	33
NT5DC1	2781	1244	2941	932	1212	2431	1173	2324	861	496	956	319	297	604	271	506
NT5DC2	1535	911	558	2837	2104	2218	2095	1310	143	94	89	326	274	337	351	232
NT5DC3	1966	1212	1850	2009	704	1753	1882	2111	213	195	218	132	62	130	169	224
NTAN1	220	276	406	534	410	280	307	387	20	27	31	60	66	52	89	58
NTHL1	356	209	314	349	166	390	366	362	102	77	96	72	29	121	161	149
NTMT1	284	297	348	437	347	321	404	356	121	91	85	68	57	76	84	78
NTPCR	297	230	327	497	170	531	436	504	91	80	52	74	27	80	102	95
NUAK2	879	901	1025	850	1793	409	686	1068	289	304	309	198	343	95	132	260
NUB1	3685	4731	10244	5976	6328	7010	11309	3258	610	1405	1093	1001	1234	1396	1546	555
NUBP1	518	405	949	746	670	735	536	955	236	172	216	125	120	139	89	241
NUBP2	543	484	650	771	437	584	576	546	161	83	155	181	102	173	432	200
NUCB1	2738	2619	3587	5577	3085	3248	4198	4154	1314	921	784	1013	469	574	638	1047
NUCKS1	8641	7811	7875	7127	10796	8885	8305	6864	624	1276	705	980	1229	1060	533	716
NUDC	3469	2532	4424	5226	3291	5301	4887	4198	728	873	381	667	356	605	524	561
NUDCD1	790	689	463	458	482	699	861	428	205	206	183	163	210	243	245	108
NUDCD2	976	536	921	890	673	1021	1103	786	99	52	52	72	51	57	119	66
NUDCD3	2600	1666	4957	4233	3788	3970	4257	3697	365	253	221	183	158	169	132	192
NUDT1	583	421	712	849	698	706	609	533	97	56	72	72	77	53	47	110
NUDT16	521	663	1408	442	901	844	846	786	31	49	64	43	63	83	71	67
NUDT16L1	573	205	722	435	367	459	517	508	233	85	158	71	59	106	122	118
NUDT18	263	191	298	470	316	341	273	234	38	25	53	36	51	48	35	42
NUDT19	786	575	833	933	924	993	1140	635	229	176	146	188	165	172	233	140
NUDT2	433	248	856	366	416	525	616	534	41	34	38	32	32	28	57	36
NUDT21	4573	4435	4086	3616	3684	4979	4411	3569	826	761	620	641	597	761	514	554
NUDT22	615	339	827	834	623	616	666	672	194	81	161	146	117	171	202	186
NUDT4	230	67	130	71	40	85	87	141	381	739	526	364	192	275	407	215
NUDT5	928	858	1200	943	1026	1240	1209	980	304	359	266	248	264	236	169	203
NUDT8	84	133	51	88	38	71	48	103	39	42	24	52	22	46	58	68
