	A	B	C	D
SNORD98	0	0	0	0
SNORD99	0	0	0	0
SNPH	0	1	0	0
SNRK	68	70	35	28
SNRK-AS1	954	900	968	948
SNRNP200	184	245	105	133
SNRNP25	3	9	4	5
SNRNP27	2	3	0	2
SNRNP35	175	141	184	167
SNRNP40	4	9	4	3
SNRNP48	21	11	12	15
SNRNP70	117	102	58	109
SNRPA	13	6	5	9
SNRPA1	4	17	7	7
SNRPB	29	32	24	25
SNRPB2	10	33	15	16
SNRPC	9	13	3	6
SNRPD1	13	18	3	10
SNRPD2	131	230	101	133
SNRPD2P2	0	0	0	0
SNRPD3	96	112	95	100
SNRPE	8	7	6	10
SNRPF	57	73	61	71
SNRPG	40	75	32	41
SNRPN	0	0	0	0
SNTA1	8	11	15	7
SNTB1	12	19	14	17
SNTB2	49	58	52	59
SNTG1	0	0	0	0
SNTG2	0	0	0	0
SNTN	18	9	12	9
SNUPN	7	6	3	6
SNURF	0	0	0	0
SNW1	69	116	64	64
SNX1	30	31	21	27
SNX10	0	0	0	0
SNX11	0	3	0	2
SNX12	12	14	13	16
SNX13	7	4	3	7
SNX14	18	22	13	33
SNX15	0	0	0	0
SNX16	0	0	0	0
SNX17	125	183	161	128
SNX18	3	4	0	0
SNX19	5	1	3	3
SNX2	14	21	8	8
SNX20	2	5	1	2
SNX21	476	483	491	451
SNX22	25551	29709	32319	28815
SNX24	0	4	0	1
SNX25	4	8	2	5
SNX27	19	25	23	22
SNX29	5	3	1	1
SNX29P1	0	0	0	0
SNX29P2	0	0	0	0
SNX3	7	5	2	3
SNX30	3	14	2	8
SNX31	0	0	0	0
SNX32	2	3	2	6
SNX33	3	3	3	5
SNX4	3	16	3	9
SNX5	23	41	12	26
SNX6	15	23	12	16
SNX7	6	4	4	3
SNX8	7	5	9	5
SNX9	0	2	4	8
SOAT1	28	33	17	19
SOAT2	0	0	1	0
SOBP	4	2	3	9
SOCS1	1	0	0	0
SOCS2	2	4	3	0
SOCS2-AS1	3	1	0	1
SOCS3	3	4	2	7
SOCS4	9	17	8	15
SOCS5	5	9	9	7
SOCS6	8	4	5	6
SOCS7	23	30	13	24
SOD1	68	73	35	58
SOD2	0	3	1	2
SOD3	0	0	0	0
SOGA1	17	9	8	11
SOGA3	5	5	1	3
SOHLH1	0	0	0	0
SOHLH2	0	0	0	0
SON	125	177	64	121
SORBS1	0	2	3	2
SORBS2	6	9	1	4
SORBS3	3	13	3	2
SORCS1	0	0	1	0
SORCS2	3	3	2	3
SORCS3	0	1	0	0
SORCS3-AS1	0	0	0	0
SORD	4	11	3	4
SORL1	0	0	0	0
SORT1	16	25	5	9
SOS1	3	11	3	2
SOS2	0	4	3	4
SOST	0	0	0	0
SOSTDC1	0	0	0	0
SOWAHA	1	1	0	0
SOWAHB	0	0	0	0
SOWAHC	20	10	8	13
SOWAHD	1	6	3	2
SOX1	0	0	0	0
SOX10	104	112	77	102
SOX11	39	42	18	23
SOX12	25	23	22	21
SOX13	5	5	2	6
SOX14	0	0	0	0
SOX15	44	51	40	43
SOX17	0	0	0	0
SOX18	0	0	0	0
SOX2	4	3	3	7
SOX2-OT	1	1	0	1
SOX21	0	0	0	0
SOX21-AS1	0	0	0	0
SOX3	0	1	0	0
SOX30	0	0	0	0
SOX4	24	18	9	20
SOX5	3	1	0	0
SOX6	0	2	0	0
SOX7	5	7	6	4
SOX8	0	0	0	0
SOX9	15	7	10	3
SOX9-AS1	0	0	0	0
SP1	20	29	9	10
SP100	42	49	33	40
SP110	4	1	1	4
SP140	2	3	1	0
SP140L	14	10	4	10
SP2	3	4	1	4
SP2-AS1	19	15	15	11
SP3	15	27	23	22
SP4	9	9	8	16
SP5	0	0	0	0
SP6	6	5	2	1
SP7	1	0	1	1
SP8	0	3	0	0
SP9	2	0	1	3
SPA17	1	3	1	1
SPACA1	0	0	0	0
SPACA3	0	0	0	0
SPACA4	1	2	1	2
SPACA5	0	0	0	0
SPACA5B	0	0	0	0
SPACA6P	8	18	4	14
SPACA6P-AS	26	20	12	15
SPACA7	0	0	0	0
SPAG1	6	2	1	1
SPAG11A	0	0	0	0
SPAG11B	0	0	0	0
SPAG16	0	0	1	0
SPAG17	284	323	334	377
SPAG4	24	17	14	14
SPAG5	6	9	5	6
SPAG5-AS1	1999	1928	1723	1629
SPAG6	4	4	5	2
SPAG7	28	24	30	19
SPAG8	59	56	64	64
SPAG9	73	70	24	59
SPAM1	0	0	0	0
SPANXA1	0	0	0	0
SPANXA2	0	0	0	0
SPANXA2-OT1	1	1	0	1
SPANXB1	0	0	0	0
SPANXC	0	0	0	0
SPANXD	0	0	1	0
SPANXN1	0	0	0	0
SPANXN2	0	0	0	0
SPANXN3	0	0	0	0
SPANXN4	0	0	0	0
SPANXN5	0	0	0	0
SPARC	252	362	124	169
SPARCL1	4	3	4	1
SPAST	35	40	25	37
SPATA1	60	42	56	66
SPATA12	0	1	3	2
SPATA13	16	13	9	4
SPATA13-AS1	0	0	0	0
SPATA16	0	0	0	0
SPATA17	0	0	0	0
SPATA17-AS1	2	0	0	0
SPATA18	1	0	0	0
SPATA19	0	0	0	0
SPATA2	2	0	1	3
SPATA20	1	2	2	0
SPATA21	0	2	0	0
SPATA22	0	0	0	0
SPATA24	0	1	1	0
SPATA25	1	9	4	4
SPATA2L	3	1	2	0
SPATA3	0	0	0	0
SPATA3-AS1	0	0	0	0
SPATA31A1	0	0	0	0
SPATA31A3	0	0	0	0
SPATA31A5	0	0	0	0
SPATA31A6	0	0	0	0
SPATA31A7	0	0	0	0
SPATA31C1	0	0	0	0
SPATA31C2	0	0	0	0
SPATA31D1	1	1	0	0
SPATA31D3	0	0	0	0
SPATA31D4	2	0	0	0
SPATA31D5P	0	0	0	0
SPATA31E1	0	0	0	0
SPATA32	1	2	0	0
SPATA33	1	0	0	1
SPATA4	1	2	1	1
SPATA41	0	2	0	0
SPATA42	0	0	0	0
SPATA45	0	0	0	0
SPATA5	27	33	13	23
SPATA5L1	1	4	2	2
SPATA6	0	1	1	1
SPATA6L	0	0	2	1
SPATA7	1	1	2	0
SPATA8	0	0	0	0
SPATA8-AS1	0	0	0	0
SPATA9	24	16	23	24
SPATC1	0	0	0	0
SPATC1L	0	0	0	0
SPATS1	0	0	0	0
SPATS2	25	39	28	19
SPATS2L	20	28	13	24
SPC24	2	3	1	3
SPC25	54	42	34	44
SPCS1	60	86	33	46
SPCS2	12	10	8	4
SPCS3	18	14	17	17
SPDEF	0	0	0	0
SPDL1	8	10	4	7
SPDYA	223	177	222	204
SPDYC	0	0	0	0
SPDYE1	19	21	11	18
SPDYE2	0	0	0	0
SPDYE2B	0	0	0	0
SPDYE3	44	48	54	36
SPDYE4	0	0	0	0
SPDYE5	22	14	9	19
SPDYE6	35	37	33	37
SPDYE7P	93	108	90	67
SPDYE8P	37	36	42	37
SPECC1	10	17	12	12
SPECC1L	3	2	1	3
SPECC1L-ADORA2A	0	0	0	0
SPEF1	0	0	0	1
SPEF2	0	0	0	0
SPEG	11	8	3	2
SPEM1	0	0	0	0
SPEN	24	28	20	25
SPERT	0	0	0	1
SPESP1	0	0	0	0
SPG11	225	200	198	180
SPG20	10	9	8	12
SPG20-AS1	1	3	4	0
SPG21	7	12	3	14
SPG7	1	4	2	2
SPHAR	0	0	0	0
SPHK1	0	1	1	2
SPHK2	9	16	10	5
SPHKAP	0	0	0	1
SPI1	0	0	1	0
SPIB	12	13	9	13
SPIC	0	0	0	0
SPICE1	3	3	2	3
SPIDR	18	21	10	12
SPIN1	20	37	24	28
SPIN2A	1	3	1	2
SPIN2B	0	1	0	0
SPIN3	0	1	0	0
SPIN4	0	1	0	0
SPINK1	0	0	0	0
SPINK13	0	0	0	0
SPINK14	0	0	0	0
SPINK2	0	0	0	0
SPINK4	1	1	2	1
SPINK5	0	1	1	0
SPINK6	0	0	0	0
SPINK7	0	0	0	0
SPINK8	0	0	0	0
SPINK9	0	0	1	0
SPINT1	0	0	0	0
SPINT2	0	0	0	0
SPINT3	0	0	0	0
SPINT4	0	1	1	1
SPIRE1	24	21	25	8
SPIRE2	12	18	11	13
SPN	43	37	27	27
SPNS1	12	12	5	3
SPNS2	2566	2569	2887	2732
SPNS3	0	0	0	0
SPO11	1	0	0	0
SPOCD1	0	0	0	1
SPOCK1	2	7	2	6
SPOCK2	0	0	0	0
SPOCK3	0	0	0	0
SPON1	69	70	28	38
SPON2	1	4	3	2
SPOP	21	25	15	16
SPOPL	5	6	3	5
SPP1	0	0	0	0
SPP2	0	0	0	0
SPPL2A	1	4	5	5
SPPL2B	2	0	0	1
SPPL2C	0	0	0	0
SPPL3	21	15	13	18
SPR	20	29	23	27
SPRED1	23	25	17	17
SPRED2	14	9	9	10
SPRED3	3	1	1	1
SPRN	606	673	625	580
SPRNP1	29	35	26	24
SPRR1A	0	0	0	0
SPRR1B	0	0	0	0
SPRR2A	0	0	0	0
SPRR2B	0	0	0	0
SPRR2C	0	0	0	0
SPRR2D	0	0	0	0
SPRR2E	0	0	0	0
SPRR2F	0	0	0	0
SPRR2G	0	0	0	0
SPRR3	0	0	0	0
SPRR4	0	0	0	0
SPRTN	4	9	4	5
SPRY1	1	0	0	0
SPRY2	6	10	3	10
SPRY3	2	2	2	0
SPRY4	1	8	2	3
SPRY4-IT1	0	0	0	0
SPRYD3	7	9	13	12
SPRYD4	7	9	5	5
SPRYD7	11	16	12	13
SPSB1	0	1	0	3
SPSB2	26	25	29	25
SPSB3	109	99	64	63
SPSB4	0	1	0	1
SPTA1	0	0	0	0
SPTAN1	138	153	124	124
SPTB	71	68	39	46
SPTBN1	48	43	16	26
SPTBN2	9	15	4	8
SPTBN4	0	2	0	1
SPTBN5	4	10	4	1
SPTLC1	19	18	13	17
SPTLC2	26	31	23	25
SPTLC3	2	3	2	1
SPTSSA	3	7	2	4
SPTSSB	0	0	0	0
SPTY2D1	9	16	12	12
SPTY2D1-AS1	372	382	345	325
SPX	0	0	0	0
SPZ1	0	0	0	0
SQLE	6	16	10	5
SQRDL	1	1	1	0
SQSTM1	422	462	313	319
SRA1	37	31	14	20
SRBD1	5	15	5	10
SRC	12	6	7	8
SRCAP	26	44	18	19
SRCIN1	3	3	2	0
SRD5A1	2	2	3	1
SRD5A1P1	0	0	0	0
SRD5A2	0	0	0	1
SRD5A3	13	21	10	15
SRD5A3-AS1	1	5	0	3
SREBF1	18	8	7	11
SREBF2	8	14	6	4
SREK1	35	50	26	44
SREK1IP1	12	12	10	11
SRF	13	14	6	15
SRFBP1	11	19	18	17
SRGAP1	11	15	13	13
SRGAP2	4	4	3	4
SRGAP2-AS1	1	1	1	1
SRGAP2B	7	3	3	10
SRGAP2C	0	0	0	0
SRGAP2D	0	0	0	0
SRGAP3	0	0	0	0
SRGAP3-AS3	0	0	0	1
SRGN	0	0	0	0
SRI	2	10	8	9
SRL	3	6	6	4
SRM	4	13	1	5
SRMS	6	5	3	3
SRP14	72	90	38	109
SRP14-AS1	8	6	9	9
SRP19	32	44	30	37
SRP54	13	51	22	35
SRP68	59	80	55	63
SRP72	24	50	25	26
SRP9	22	19	11	7
SRPK1	4	16	7	9
SRPK2	8	10	7	3
SRPK3	12	23	11	11
SRPR	79	114	88	88
SRPRB	6	17	6	8
SRPX	6	9	12	9
SRPX2	14	7	2	7
SRR	4455	5024	5780	5714
SRRD	37	41	54	59
SRRM1	12	14	5	9
SRRM2	60	62	31	57
SRRM2-AS1	14	25	15	15
SRRM3	0	0	0	0
SRRM4	1	1	1	0
SRRM5	581	696	586	587
SRRT	222	265	184	254
SRSF1	124	111	109	128
SRSF10	83	150	91	77
SRSF11	115	171	120	140
SRSF12	15	11	11	6
SRSF2	45	30	22	18
SRSF3	58	124	60	55
SRSF4	168	179	107	193
SRSF5	121	231	119	114
SRSF6	30	34	21	26
SRSF7	9	19	8	6
SRSF8	24	17	10	23
SRSF9	286	312	247	283
SRXN1	15	27	18	18
SRY	0	0	0	0
SS18	52	50	44	27
SS18L1	18	21	7	13
SS18L2	1	0	1	0
SSB	333	270	311	343
SSBP1	60	83	51	76
SSBP2	2	3	0	1
SSBP3	32	18	11	26
SSBP3-AS1	17	31	17	21
SSBP4	5	2	4	3
SSC4D	2	8	4	3
SSC5D	1	3	3	0
SSFA2	31	36	19	27
SSH1	24	27	18	26
SSH2	11	13	3	11
SSH3	3	1	4	2
SSMEM1	0	0	0	0
SSNA1	9	5	7	9
SSPN	2	2	0	0
SSPO	0	0	0	0
SSR1	50	57	37	50
SSR2	1	15	5	8
SSR3	51	44	29	32
SSR4	117	104	54	100
SSR4P1	0	0	0	0
SSRP1	252	406	208	275
SSSCA1	1	3	2	2
SSSCA1-AS1	17	16	19	21
SST	0	0	0	0
SSTR1	0	0	0	1
SSTR2	13	9	9	15
SSTR3	0	0	0	0
SSTR4	0	0	0	0
SSTR5	0	0	2	0
SSTR5-AS1	4	4	3	8
SSU72	8	12	5	9
SSUH2	0	1	0	0
SSX1	0	0	0	0
SSX2	0	0	0	0
SSX2B	0	0	0	0
SSX2IP	6	2	2	4
SSX3	0	0	0	0
SSX4	0	0	0	0
SSX4B	0	0	0	0
SSX5	0	1	1	0
SSX6	0	0	0	0
SSX7	0	0	0	0
SSX8	0	0	0	0
SSX9	0	0	0	0
ST13	58	127	39	67
ST13P4	1	10	3	5
ST14	0	0	0	0
ST18	0	0	0	0
ST20	31	39	36	26
ST20-AS1	132	144	190	184
ST20-MTHFS	0	0	0	0
ST3GAL1	31	21	18	18
ST3GAL2	31	20	22	26
ST3GAL3	3	1	2	1
ST3GAL4	6	4	2	2
ST3GAL4-AS1	3	3	2	3
ST3GAL5	0	2	0	0
ST3GAL5-AS1	0	0	0	0
ST3GAL6	171	129	100	103
ST3GAL6-AS1	2	3	1	1
ST5	27	28	20	20
ST6GAL1	4	7	7	4
ST6GAL2	16	12	16	10
ST6GALNAC1	2	0	0	0
ST6GALNAC2	14	15	13	9
ST6GALNAC3	0	0	1	0
ST6GALNAC4	1	0	0	3
ST6GALNAC5	0	2	0	1
ST6GALNAC6	3	3	3	4
ST7	4	7	11	7
ST7-AS1	45	53	48	62
ST7-AS2	81	89	94	82
ST7-OT3	0	0	0	0
ST7-OT4	8	9	16	12
ST7L	21	16	22	16
ST8SIA1	19	13	18	17
ST8SIA2	2	2	0	0
ST8SIA3	0	0	0	0
ST8SIA4	13	16	9	14
ST8SIA5	0	0	0	0
ST8SIA6	0	0	0	0
ST8SIA6-AS1	0	0	0	1
STAB1	657	634	741	665
STAB2	26	30	24	24
STAC	14	16	4	10
STAC2	19	27	21	19
STAC3	4	1	1	2
STAG1	41	46	30	51
STAG2	17	28	10	21
STAG3	50	49	23	20
STAG3L1	4	4	4	2
STAG3L2	4	6	6	5
STAG3L3	0	0	0	0
STAG3L4	1	1	0	0
STAG3L5P	0	3	0	0
STAG3L5P-PVRIG2P-PILRB	3	7	1	6
STAM	0	3	0	0
STAM-AS1	0	0	0	0
STAM2	6	9	4	8
STAMBP	7	9	5	7
STAMBPL1	0	2	1	1
STAP1	3	0	0	0
STAP2	9	7	8	10
STAR	9	18	13	12
STARD10	0	1	1	1
STARD13	11	13	8	7
STARD13-AS	7	13	14	8
STARD3	1	5	8	5
STARD3NL	0	3	2	2
STARD4	14	10	6	7
STARD4-AS1	1274	1137	976	980
STARD5	0	1	1	0
STARD6	0	0	0	0
STARD7	46	54	39	45
STARD7-AS1	529	659	598	527
STARD8	0	2	0	0
STARD9	35	34	24	20
STAT1	5	22	10	9
STAT2	19	19	23	19
STAT3	19	20	13	10
STAT4	0	0	0	0
STAT5A	1	2	2	1
STAT5B	8	15	6	3
STAT6	81	99	93	115
STATH	0	0	0	0
STAU1	69	96	66	89
STAU2	0	1	0	2
STAU2-AS1	16	22	19	21
STBD1	10	16	28	24
STC1	21	18	16	23
STC2	53	57	23	33
STEAP1	0	0	0	0
STEAP1B	1	3	0	3
STEAP2	8	6	8	4
STEAP2-AS1	0	0	0	0
STEAP3	18	18	7	17
STEAP3-AS1	1918	2109	1910	1610
STEAP4	5	5	2	6
STH	0	0	0	0
STIL	8	9	2	7
STIM1	11	12	4	7
STIM2	1	5	3	4
STIP1	187	344	168	203
STK10	21	22	13	18
STK11	20	40	23	27
STK11IP	6	4	2	8
STK16	48	55	47	48
STK17A	408	321	256	300
STK17B	5	8	5	6
STK19	113	134	127	108
STK24	42	42	19	25
STK25	24	48	20	27
STK26	4	6	4	8
STK3	5	3	0	2
STK31	0	0	0	0
STK32A	1	1	1	1
STK32B	1	2	1	1
STK32C	0	0	0	0
STK33	1	2	2	1
STK35	11	16	15	10
STK36	4	3	3	5
STK38	14	10	6	13
STK38L	16	17	14	10
STK39	10	23	6	15
STK4	48	71	56	46
STK4-AS1	0	0	0	1
STK40	11	6	5	3
STKLD1	72	98	101	82
STMN1	39	45	21	31
STMN2	0	0	0	0
STMN3	3	1	1	1
STMN4	0	0	0	0
STMND1	0	1	0	0
STOM	28	19	27	21
STOML1	2	0	1	1
STOML2	4	7	5	6
STOML3	0	0	0	0
STON1	3	2	2	1
STON1-GTF2A1L	0	0	0	1
STON2	9	13	6	12
STOX1	0	0	0	0
STOX2	0	0	0	0
STPG1	1	5	0	2
STPG2	0	0	0	0
STPG2-AS1	0	0	0	0
STRA13	0	1	2	2
STRA6	0	1	0	1
STRA8	0	0	0	0
STRADA	22	24	11	11
STRADB	5	3	4	1
STRAP	46	70	32	59
STRBP	20	39	19	26
STRC	0	0	0	0
STRIP1	2	1	1	0
STRIP2	8	5	3	7
STRN	7	11	3	3
STRN3	2	4	1	2
STRN4	22	33	19	26
STS	2	5	0	0
STT3A	17	43	8	12
STT3B	33	48	19	52
STUB1	2376	2457	2079	1867
STX10	9	8	6	7
STX11	9	5	13	8
STX12	4	1	2	1
STX16	17	19	5	14
STX16-NPEPL1	0	0	0	0
STX17	29	45	29	22
STX17-AS1	0	0	0	0
STX18	7	16	3	6
STX18-AS1	0	0	0	0
STX18-IT1	0	0	0	0
STX19	3	1	1	2
STX1A	7	10	1	6
STX1B	6	3	2	2
STX2	21	24	11	15
STX3	25	30	25	30
STX4	21	28	13	24
STX5	6	4	7	9
STX6	5	12	3	8
STX7	5	0	1	2
STX8	3	11	6	7
STXBP1	15	21	14	14
STXBP2	0	0	0	0
STXBP3	0	4	2	3
STXBP4	2	2	0	0
STXBP5	1	3	2	2
STXBP5-AS1	26	35	25	35
STXBP5L	22	15	14	20
STXBP6	0	0	0	1
STYK1	0	0	0	0
STYX	26	9	15	22
STYXL1	0	1	1	1
SUB1	14	6	2	8
SUCLA2	2	4	6	0
SUCLG1	9	10	2	7
SUCLG2	18	35	22	18
SUCLG2-AS1	0	0	0	0
SUCNR1	0	0	0	0
SUCO	10	4	2	5
SUDS3	21	50	22	16
SUFU	4	9	2	6
SUGCT	0	0	0	0
SUGP1	5	7	2	5
SUGP2	32	45	17	19
SUGT1	6	13	2	5
SUGT1P1	10	15	9	14
SUGT1P3	11	8	12	16
SULF1	0	0	0	1
SULF2	4	3	3	2
SULT1A1	0	0	0	0
SULT1A2	1	0	2	1
SULT1A3	0	0	0	0
SULT1A4	0	0	0	0
SULT1B1	0	0	0	1
SULT1C2	3	3	3	4
SULT1C2P1	2	1	1	1
SULT1C3	0	0	0	0
SULT1C4	0	0	0	0
SULT1E1	0	0	0	0
SULT2A1	15	10	12	20
SULT2B1	0	0	0	0
SULT4A1	0	0	1	0
SULT6B1	0	0	0	0
SUMF1	1	5	0	1
SUMF2	30	46	23	19
SUMO1	169	289	167	168
SUMO1P1	0	0	0	0
SUMO1P3	10	11	8	5
SUMO2	52	107	40	51
SUMO3	20	13	5	18
SUMO4	0	0	0	0
SUN1	5	7	3	1
SUN2	117	166	135	147
SUN3	0	1	0	0
SUN5	0	0	0	0
SUOX	6	10	6	6
SUPT16H	153	317	150	182
SUPT20H	167	105	137	108
SUPT20HL1	0	1	0	0
SUPT20HL2	0	0	0	0
SUPT3H	0	0	2	2
SUPT4H1	28	27	16	23
SUPT5H	99	132	82	104
SUPT6H	94	118	86	83
SUPT7L	535	497	470	530
SUPV3L1	6	16	7	18
SURF1	5	6	4	3
SURF2	9	18	7	14
SURF4	107	153	101	114
SURF6	27	33	13	21
SUSD1	0	0	0	0
SUSD2	0	0	0	0
SUSD3	0	0	0	0
SUSD4	0	0	0	0
SUSD5	32	21	15	8
SUSD6	3	1	2	0
SUV39H1	12	14	8	6
SUV39H2	76	69	47	72
SUV420H1	4	3	3	5
SUV420H2	0	1	1	0
SUZ12	10	9	5	14
SUZ12P1	0	1	0	1
SV2A	5	15	5	7
SV2B	27	35	34	20
SV2C	1	0	0	0
SVBP	10	14	6	7
SVEP1	1	1	1	1
SVIL	155	172	158	131
SVIL-AS1	690	741	576	567
SVILP1	1	2	1	1
SVIP	1	7	0	2
SVOP	4	9	5	6
SVOPL	0	0	0	0
SWAP70	46	35	25	25
SWI5	2	0	0	0
SWSAP1	12	13	8	5
SWT1	6	4	6	4
SYAP1	30	37	33	19
SYBU	1	0	0	1
SYCE1	0	1	0	0
SYCE1L	1	0	0	0
SYCE2	16	18	29	18
SYCE3	0	0	0	0
SYCN	0	0	0	0
SYCP1	0	0	0	0
SYCP2	0	0	0	0
SYCP2L	0	0	0	0
SYCP3	295	215	246	285
SYDE1	10	13	7	13
SYDE2	12	6	6	7
SYF2	21	29	7	16
SYK	2	3	6	2
SYMPK	10	12	8	21
SYN1	17	15	14	20
SYN2	1	1	1	1
SYN3	4	2	1	4
SYNC	2933	1545	1593	1870
SYNCRIP	231	279	223	217
SYNDIG1	0	0	0	0
SYNDIG1L	0	0	0	0
SYNE1	2	3	1	2
SYNE1-AS1	13	7	13	8
SYNE2	11	8	4	5
SYNE3	0	0	2	1
SYNE4	2	3	2	4
SYNGAP1	10	18	3	4
SYNGR1	1	0	0	0
SYNGR2	15	4	10	13
SYNGR3	2	1	0	0
SYNGR4	0	0	0	0
SYNJ1	1	3	0	1
SYNJ2	25	34	22	24
SYNJ2-IT1	0	0	0	0
SYNJ2BP	25	39	21	18
SYNJ2BP-COX16	0	0	0	0
SYNM	24	29	19	24
SYNPO	13	14	9	17
SYNPO2	15	11	5	4
SYNPO2L	7	5	4	6
SYNPR	0	0	0	0
SYNPR-AS1	0	0	0	0
SYNRG	27	23	23	23
SYP	0	3	0	2
SYP-AS1	1	2	0	7
SYPL1	4	4	6	4
SYPL2	1	0	0	0
SYS1	16	23	20	17
SYS1-DBNDD2	0	0	0	0
SYT1	18	8	4	12
SYT10	0	0	0	0
SYT11	33	50	18	33
SYT12	0	0	0	0
SYT13	6	4	5	3
SYT14	1	1	1	0
SYT14P1	0	0	0	1
SYT15	32	22	17	18
SYT16	0	0	0	0
SYT17	0	0	0	1
SYT2	63	45	30	41
SYT3	0	0	0	0
SYT4	0	0	0	0
SYT5	11	15	12	9
SYT6	0	0	0	0
SYT7	0	0	0	0
SYT8	0	0	0	0
SYT9	0	0	0	0
SYTL1	1	1	2	0
SYTL2	10	14	5	6
SYTL3	0	0	0	0
SYTL4	99	93	42	52
SYTL5	3	0	1	2
SYVN1	141	124	129	140
SZRD1	58	74	50	76
SZT2	4223	4789	3122	3075
T	0	0	0	0
TAAR1	0	0	0	0
TAAR2	0	0	0	0
TAAR3	0	0	0	0
TAAR5	0	0	0	0
TAAR6	0	0	0	0
TAAR8	0	0	0	0
TAAR9	0	0	0	0
TAB1	5	7	1	2
TAB2	8	8	4	7
TAB3	4	13	2	5
TAC1	0	0	0	0
TAC3	0	0	0	0
TAC4	16	13	8	15
TACC1	16	16	16	23
TACC2	3	16	5	3
TACC3	28	48	10	21
TACO1	10	16	8	18
TACR1	4	5	2	2
TACR2	10	5	2	3
TACR3	0	0	0	0
TACSTD2	0	0	0	0
TADA1	11	5	5	3
TADA2A	3	4	1	0
TADA2B	21	27	19	16
TADA3	135	133	185	169
TAF1	16	31	13	19
TAF10	331	341	268	199
TAF11	13	25	15	16
TAF12	0	2	1	1
TAF13	3	8	2	2
TAF15	99	100	52	87
TAF1A	7	10	5	9
TAF1A-AS1	0	0	0	0
TAF1B	3	6	2	1
TAF1C	1	5	1	2
TAF1D	1	1	1	2
TAF1L	13	13	5	6
TAF2	8	6	2	6
TAF3	5	6	3	0
TAF4	3	6	3	1
TAF4B	1	6	1	1
TAF5	250	173	227	242
TAF5L	10	7	7	9
TAF6	333	437	317	352
TAF6L	64	72	59	54
TAF7	19	28	6	28
TAF7L	0	0	0	1
TAF8	26	32	21	40
TAF9	1	10	1	2
TAF9B	337	240	214	204
TAGAP	0	1	0	0
TAGLN	11	28	22	29
TAGLN2	24	33	19	27
TAGLN3	0	0	0	0
TAL1	0	1	1	0
TAL2	0	0	0	0
TALDO1	25	25	12	22
TAMM41	1	0	1	5
TANC1	6	19	8	7
TANC2	21	13	16	19
TANGO2	4	8	6	2
TANGO6	1	1	2	2
TANK	2	6	1	3
TAOK1	32	20	19	22
TAOK2	13	16	11	16
TAOK3	12	10	5	9
TAP1	54	71	66	62
TAP2	18	20	6	9
TAPBP	104	108	116	109
TAPBPL	32	39	24	17
TAPT1	1	2	1	4
TAPT1-AS1	138	112	152	104
TARBP1	2	3	0	5
TARBP2	6	9	8	12
TARDBP	48	71	35	42
TARID	24	26	38	29
TARM1	0	0	0	0
TARP	0	0	0	0
TARS	56	92	22	38
TARS2	2	3	2	1
TARSL2	0	3	1	1
TAS1R1	1	1	0	0
TAS1R2	0	0	0	0
TAS1R3	4	4	6	9
TAS2R1	0	0	0	0
TAS2R10	0	0	0	0
TAS2R13	0	0	0	0
TAS2R14	0	0	0	0
TAS2R16	0	0	0	0
TAS2R19	0	0	0	0
TAS2R20	1	3	2	0
TAS2R3	0	0	0	0
TAS2R30	0	0	0	0
TAS2R31	0	0	0	0
TAS2R38	0	0	0	0
TAS2R39	0	0	0	0
TAS2R4	0	0	0	0
TAS2R40	0	0	0	0
TAS2R41	0	0	0	0
TAS2R42	0	0	0	0
TAS2R43	0	0	0	0
TAS2R46	0	0	0	0
TAS2R5	0	0	1	0
TAS2R50	0	0	0	0
TAS2R60	0	0	0	0
TAS2R7	0	0	0	0
TAS2R8	0	0	0	0
TAS2R9	0	0	0	0
TASP1	1	2	0	2
TAT	11	10	9	5
TAT-AS1	0	0	0	0
TATDN1	14	12	10	4
TATDN2	24	18	37	33
TATDN3	31	30	22	30
TAX1BP1	2	7	7	6
TAX1BP3	5	5	3	1
TAZ	29	19	18	17
TBATA	0	0	0	0
TBC1D1	2	12	4	6
TBC1D10A	0	1	2	3
TBC1D10B	104	154	85	133
TBC1D10C	2	1	1	1
TBC1D12	2	2	2	0
TBC1D13	2	6	3	6
TBC1D14	7	6	3	7
TBC1D15	18	15	9	10
TBC1D16	2	6	3	1
TBC1D17	25	24	27	30
TBC1D19	3	0	0	0
TBC1D2	1	0	0	1
TBC1D20	14	12	8	11
TBC1D21	0	0	0	0
TBC1D22A	0	2	2	7
TBC1D22A-AS1	8	1	8	6
TBC1D22B	3	8	8	6
TBC1D23	12	18	11	10
TBC1D24	17	11	9	14
TBC1D25	1	3	1	1
TBC1D26	0	0	0	0
TBC1D28	0	0	0	0
TBC1D29	0	0	0	1
TBC1D2B	0	4	2	0
TBC1D3	0	0	0	0
TBC1D30	0	0	0	0
TBC1D31	0	4	2	2
TBC1D32	20	17	9	9
TBC1D3B	0	0	0	0
TBC1D3C	0	0	0	0
TBC1D3F	0	0	0	0
TBC1D3H	0	0	0	0
TBC1D3K	0	0	0	0
TBC1D3L	0	0	0	0
TBC1D3P1-DHX40P1	3	2	0	0
TBC1D3P2	0	0	0	0
TBC1D3P5	0	0	0	0
TBC1D4	1	0	1	1
TBC1D5	23	11	9	11
TBC1D7	1	1	0	1
TBC1D8	108	90	73	89
TBC1D8B	0	1	0	1
TBC1D9	7	6	5	8
TBC1D9B	11	27	17	16
