	A	B	C	D
AMTN	0	0	0	0
AMY1A	0	0	0	0
AMY1B	0	0	0	0
AMY1C	0	0	0	0
AMY2A	0	0	0	0
AMY2B	1	0	0	0
AMZ1	5	5	6	3
AMZ2	18	7	12	6
AMZ2P1	0	0	1	2
ANAPC1	13	21	9	14
ANAPC10	90	143	53	162
ANAPC11	254	309	151	265
ANAPC13	47	68	27	56
ANAPC15	33	36	18	25
ANAPC16	42	64	39	52
ANAPC1P1	0	1	3	1
ANAPC2	1	2	4	3
ANAPC4	1	5	1	3
ANAPC5	33	29	17	25
ANAPC7	8	7	9	8
ANG	0	0	0	0
ANGEL1	0	0	1	0
ANGEL2	11	10	9	8
ANGPT1	0	2	0	0
ANGPT2	44	47	33	42
ANGPT4	7	6	5	3
ANGPTL1	1	2	1	0
ANGPTL2	3	5	2	6
ANGPTL3	7	2	2	1
ANGPTL4	3	4	6	2
ANGPTL5	0	0	2	0
ANGPTL6	272	342	300	296
ANGPTL7	2	3	3	3
ANHX	0	0	0	0
ANK1	0	0	0	1
ANK2	1	3	3	5
ANK3	10	19	6	10
ANKAR	1	3	1	3
ANKDD1A	45	45	43	30
ANKDD1B	0	2	1	0
ANKEF1	0	5	4	0
ANKFN1	0	0	0	0
ANKFY1	9	20	9	10
ANKH	560	532	408	450
ANKHD1	3	0	0	0
ANKHD1-EIF4EBP3	2	0	1	0
ANKIB1	5	2	2	3
ANKK1	4	9	2	5
ANKLE1	14	18	12	16
ANKLE2	13	19	9	13
ANKMY1	24	24	15	20
ANKMY2	1	4	0	1
ANKRA2	0	4	1	0
ANKRD1	0	1	0	4
ANKRD10	5	12	2	2
ANKRD11	41	37	25	48
ANKRD12	17	17	17	16
ANKRD13A	45	50	50	43
ANKRD13B	2	3	3	3
ANKRD13C	11	17	11	15
ANKRD13D	0	1	0	1
ANKRD16	21	12	16	14
ANKRD17	20	37	16	25
ANKRD18A	12	2	10	6
ANKRD18B	14	9	10	8
ANKRD18DP	0	0	0	0
ANKRD19P	773	996	910	837
ANKRD2	0	0	0	0
ANKRD20A1	0	0	0	0
ANKRD20A11P	6	5	1	4
ANKRD20A12P	49	17	24	28
ANKRD20A19P	0	0	0	0
ANKRD20A2	0	0	0	0
ANKRD20A3	2	5	7	3
ANKRD20A4	5	3	2	3
ANKRD20A5P	7	5	8	2
ANKRD20A8P	1	0	0	3
ANKRD20A9P	560	579	454	578
ANKRD22	3	5	2	1
ANKRD23	1	4	5	3
ANKRD24	0	0	0	0
ANKRD26	3	0	1	1
ANKRD26P1	0	0	0	0
ANKRD26P3	0	0	0	0
ANKRD27	13	6	2	6
ANKRD28	29	24	16	19
ANKRD29	0	0	1	1
ANKRD30A	1	0	0	0
ANKRD30B	3	5	5	6
ANKRD30BL	1	1	1	0
ANKRD30BP2	15	11	17	6
ANKRD30BP3	0	0	0	0
ANKRD31	0	0	0	0
ANKRD32	0	1	0	1
ANKRD33	0	0	0	0
ANKRD33B	1	7	3	4
ANKRD34A	2	3	3	4
ANKRD34B	0	0	0	0
ANKRD34C	0	0	0	0
ANKRD34C-AS1	0	0	0	0
ANKRD35	0	0	0	0
ANKRD36	0	3	1	2
ANKRD36B	11	12	5	8
ANKRD36BP1	329	198	233	236
ANKRD36BP2	0	0	0	0
ANKRD36C	0	2	0	0
ANKRD37	123	67	69	65
ANKRD39	0	2	0	1
ANKRD40	54	100	56	72
ANKRD42	16	10	6	10
ANKRD44	1	0	0	0
ANKRD44-IT1	0	0	0	0
ANKRD45	0	3	6	3
ANKRD46	0	0	0	2
ANKRD49	0	0	0	0
ANKRD50	8	3	6	0
ANKRD52	31	35	27	35
ANKRD53	1	2	4	6
ANKRD54	2	1	2	0
ANKRD55	7	7	2	5
ANKRD6	220	185	163	167
ANKRD60	0	0	0	0
ANKRD61	28	20	13	13
ANKRD62	0	0	0	0
ANKRD62P1-PARP4P3	4	2	3	2
ANKRD63	0	0	0	0
ANKRD65	6	4	0	0
ANKRD66	0	0	0	0
ANKRD7	0	0	0	1
ANKRD9	1	1	1	1
ANKS1A	7	2	5	3
ANKS1B	186	149	146	180
ANKS3	1	2	4	6
ANKS4B	8	8	5	8
ANKS6	1	6	1	1
ANKUB1	0	0	0	0
ANKZF1	11	22	21	26
ANLN	27	78	8	50
ANO1	0	0	0	0
ANO1-AS2	1	0	0	0
ANO10	1	3	2	1
ANO2	0	0	0	0
ANO3	1	0	0	0
ANO4	4	2	1	1
ANO5	2	6	3	5
ANO6	21	22	15	11
ANO7	1	3	6	4
ANO8	28	42	27	19
ANO9	0	0	0	0
ANOS1	2	0	2	3
ANP32A	185	307	157	225
ANP32A-IT1	12	24	7	14
ANP32AP1	0	1	1	0
ANP32B	610	893	540	754
ANP32C	0	0	0	0
ANP32D	0	0	0	0
ANP32E	95	150	71	117
ANPEP	4	1	3	3
ANTXR1	11	16	11	14
ANTXR2	27	45	15	25
ANTXRL	0	0	0	0
ANTXRLP1	0	0	0	0
ANXA1	43	128	38	64
ANXA10	0	0	0	0
ANXA11	22	25	13	18
ANXA13	0	0	0	0
ANXA2	109	242	90	106
ANXA2P1	2	4	5	1
ANXA2P2	43	120	39	51
ANXA2P3	0	0	0	0
ANXA2R	2	0	0	0
ANXA3	7	1	1	4
ANXA4	4	12	5	11
ANXA5	180	298	204	221
ANXA6	40	49	29	29
ANXA7	6	8	7	8
ANXA8	0	0	0	0
ANXA8L1	0	0	0	0
ANXA9	335	309	264	262
AOAH	0	0	0	2
AOAH-IT1	0	0	0	0
AOC1	0	0	0	0
AOC2	1	1	1	0
AOC3	0	0	0	0
AOC4P	5	5	2	3
AOX1	7	5	5	0
AOX2P	2	1	3	2
AP1AR	6	10	3	10
AP1B1	7	9	2	10
AP1B1P1	0	0	0	0
AP1G1	27	42	20	28
AP1G2	226	265	210	218
