,log2FC_TE_v1,pvalue_v1,log2FC_TE_v2,pvalue_v2,log2FC_TE_final,pvalue_final,pvalue.adjust
ESPN,1.32722656485219,0.277701293516826,0.358746319398209,0.867302417081262,0.358746319398209,0.867302417081262,0.968755584575708
ESR1,0.242337853501993,0.642907382224284,0.252881966976859,0.73327976249095,0.252881966976859,0.73327976249095,0.913829661391763
ESR2,1.34370398106274,0.142886849201732,0.472065354016818,0.797307542859357,0.472065354016818,0.797307542859357,0.943799691455377
ESRP2,-0.291329133839744,0.723995940327866,-0.278392294494655,0.772611991147488,-0.278392294494655,0.772611991147488,0.933198073423167
ESRRB,1.41456846614125,0.086880658452288,1.45499675150267,0.359251626589681,1.45499675150267,0.359251626589681,0.669876443572776
ESYT3,-0.906971029135168,0.158349244292411,-0.895016969874495,0.316955558533729,-0.895016969874495,0.316955558533729,0.625361481633653
ETS2,-1.14809069077857,0.182601886930847,-0.522584512168909,0.517618299470815,-0.522584512168909,0.517618299470815,0.7898691709283
ETV1,-1.66182387354363,0.003880940881406,-1.60518143496675,0.006741989886545,-1.60518143496675,0.006741989886545,0.059501128076084
ETV2,0.553528952214826,0.383369822702283,0.54532479057273,0.553457400595647,0.54532479057273,0.553457400595647,0.814795580517273
ETV3L,-0.768169554344562,0.201247976627705,-0.762825523444393,0.284780060375414,-0.762825523444393,0.284780060375414,0.592264600354374
ETV4,-2.15844069538996,0.000500050870187,-2.10212162282236,0.000458083100093,-2.15844069538996,0.000500050870187,0.009588158712112
ETV5,-0.997858937160158,0.052157476372842,-0.994337196863164,0.096296749842079,-0.994337196863164,0.096296749842079,0.322474258311741
ETV7,0.587811022890616,0.530511427739293,0.519870111769764,0.777145609168737,0.519870111769764,0.777145609168737,0.934725194686825
EVA1B,0.21378146328942,0.645787308866871,0.219493566278345,0.689459631881698,0.219493566278345,0.689459631881698,0.891166362242709
EVA1C,5.93330090702446,3.10436259824042E-08,1.2504440958631,0.58474474807837,1.2504440958631,0.58474474807837,0.834351219297419
EVC,0.11766743789385,0.862404658834839,-0.074567751274175,0.860560042200543,0.11766743789385,0.862404658834839,0.967657465570926
EVC2,-0.154335041047769,0.878697705660393,0,0.99097220924557,0,0.99097220924557,0.999899522891475
EVPL,-0.345817088584297,0.678241449548375,-0.252752918111316,0.906010699983693,-0.252752918111316,0.906010699983693,0.982935864503566
EXD3,2.01629919545294,2.02593769914648E-07,1.91481171878501,0.005237126086627,1.91481171878501,0.005237126086627,0.049640557525829
EXOC3L4,2.39978323061552,0.084622318723706,1.63197127822891,0.172677533879344,1.63197127822891,0.172677533879344,0.452018138533395
EXPH5,1.21448284024621,0.253306905824295,0.967212124611776,0.695213055075697,0.967212124611776,0.695213055075697,0.893053843185931
EXTL2,-0.200718415350404,0.640635573260493,-0.198272399547723,0.716027786270469,-0.198272399547723,0.716027786270469,0.903975419306826
EYS,1.12654080239733,0.235990610865741,1.20548320784997,0.563871488541002,1.20548320784997,0.563871488541002,0.821989454789716
F12,0.033103829793966,0.960305258725773,0.045081152781292,0.965946025697589,0.045081152781292,0.965946025697589,0.999899522891475
F13A1,-0.826974200984692,0.335465798381045,-0.805254104426652,0.461696844717168,-0.805254104426652,0.461696844717168,0.750877462284299
F2R,-0.292138979395914,0.63121323849693,-0.287127211095219,0.677515904769088,-0.287127211095219,0.677515904769088,0.88544710455274
F3,-0.420327092849782,0.719691657407571,0,0.94425219687107,0,0.94425219687107,0.993939520000459
F5,-0.364335792991607,0.689501501873241,0,0.928143364064636,0,0.928143364064636,0.989170992617238
F8,0.044166946823111,0.918003622078425,0.04440901521963,0.973948532831122,0.04440901521963,0.973948532831122,0.999899522891475
FA2H,3.98712275839659,0.08295674448458,-0.63167277461691,0.691964755969894,-0.63167277461691,0.691964755969894,0.891633084720879
FAAH,-0.387268004994667,0.425476626481701,-0.380208579961744,0.534786890241764,-0.380208579961744,0.534786890241764,0.80259692791957
FAAH2,-0.097849201883598,0.834135299525324,-0.091752043414101,0.84969071862521,-0.091752043414101,0.84969071862521,0.963093430767554
FAAP24,-0.241905130969964,0.517120882866874,-0.237270798462009,0.678103107007298,-0.237270798462009,0.678103107007298,0.885483595198981
FABP5,-0.25123849028966,0.876741754117748,0,0.98072465367477,0,0.98072465367477,0.999899522891475
FADS1,0.550301115446703,0.32349639213692,0.205750004953749,0.625323075016451,0.205750004953749,0.625323075016451,0.858451417324121
FAH,-0.933326136338323,0.116387103226744,-0.92670267801719,0.209580771196575,-0.92670267801719,0.209580771196575,0.502232925253583
FAIM,0.359566466690687,0.47626496853948,0.361418406237909,0.665088927132206,0.361418406237909,0.665088927132206,0.880715740683713
FAIM2,1.71662038597637,0.029030550276578,1.76758917170425,0.11462914608421,1.76758917170425,0.11462914608421,0.355463628228356
FAM101B,2.31058894519997,0.004465970127557,2.12840184149044,0.193722964596148,2.12840184149044,0.193722964596148,0.482028736383844
FAM103A1,0.173658067243762,0.565514557623198,0.077050429899996,0.701224760790633,0.077050429899996,0.701224760790633,0.896078032008735
FAM104B,-0.045077355303782,0.891594871327865,-0.038564684849756,0.919652794338196,-0.038564684849756,0.919652794338196,0.985894302338849
FAM105A,-0.412542472758778,0.714981835011109,-0.437819060758192,0.690063044144457,-0.412542472758778,0.714981835011109,0.903630283816595
FAM109B,0.26937038409389,0.693276869845956,0.299326608536457,0.850290305365223,0.299326608536457,0.850290305365223,0.963352859178316
FAM110A,-0.990196414866732,0.002535111598435,-0.974861755478761,0.024639344711112,-0.974861755478761,0.024639344711112,0.138843544417498
FAM110B,0.140707192367067,0.912501092018838,0.165840290770694,0.940626897936052,0.165840290770694,0.940626897936052,0.99271005183301
FAM111B,1.64383531377689,0.046175831114152,1.16474656586964,0.223500057337897,1.16474656586964,0.223500057337897,0.520250719665653
FAM114A1,-0.376789639943917,0.300454779898487,-0.371867726688448,0.430476265523163,-0.371867726688448,0.430476265523163,0.726933670064446
FAM120AOS,-0.164466743851827,0.611187473532232,-0.160258441901807,0.778569347386585,-0.160258441901807,0.778569347386585,0.935300954572904
FAM124A,1.89089940655543,0.156187438814185,0.661500045299737,0.519335987982135,0.661500045299737,0.519335987982135,0.791418550668353
FAM127A,-1.3976625771392,8.54180368996651E-07,-1.38811476150365,0.00047846121579,-1.38811476150365,0.00047846121579,0.009284889897962
FAM127B,-0.479830809006325,0.127014144171699,-0.478863645736038,0.270533862006131,-0.478863645736038,0.270533862006131,0.576331916252695
FAM127C,1.91028827970601,0.238376651879721,1.69612817851419,0.028395010706647,1.91028827970601,0.238376651879721,0.539671652839081
FAM131A,-0.288613830541125,0.38037512457932,-0.282755342408264,0.57847303829799,-0.282755342408264,0.57847303829799,0.829228244723074
FAM133B,0.08305683062328,0.904000877256511,0,0.892474364253497,0.08305683062328,0.904000877256511,0.982380042694242
FAM134B,1.38735781975988,0.036828554583105,1.20283197352678,0.099858832031668,1.20283197352678,0.099858832031668,0.329769951981375
FAM135A,1.85653781786173,6.40028452360997E-06,1.72395704206819,0.015359976143169,1.72395704206819,0.015359976143169,0.102182757527408
FAM13A,-0.25684383571399,0.677533014410656,-0.251314014227926,0.715708555938986,-0.251314014227926,0.715708555938986,0.903936797480613
FAM149B1,1.93970414597329,9.53036054070496E-10,1.94764582831748,0.007304088438696,1.94764582831748,0.007304088438696,0.062691395498508
FAM159A,0.005747661149785,0.999934041575757,0.012574662703911,0.998629033194477,0.005747661149785,0.999934041575757,0.99998361625611
FAM160A1,-1.08716059233883,0.17668013170778,-1.05142823689988,0.411518005256955,-1.05142823689988,0.411518005256955,0.713197169526717
FAM161A,1.42003718750484,0.000364524815196,1.30219140870892,0.040373133098602,1.30219140870892,0.040373133098602,0.190868879367416
FAM161B,0.271956522522558,0.490118590311926,0.277403950498828,0.740919035931721,0.277403950498828,0.740919035931721,0.917867880287004
FAM167A,0.285402018403925,0.753682951016054,0.294074728718255,0.995540615334979,0.294074728718255,0.995540615334979,0.999899522891475
FAM169A,0.724073072850208,0.408253206867267,0,0.759765479254462,0,0.759765479254462,0.927521296843105
FAM171A1,0.982545795055724,0.1251216233577,0.99862405109596,0.319037121007474,0.99862405109596,0.319037121007474,0.627347027186636
FAM171A2,-0.996425722345593,0.065788425161484,-0.987166243081404,0.158517257288253,-0.987166243081404,0.158517257288253,0.42963619807682
FAM171B,2.86542936828707,0.010549316340469,1.55467460978709,0.29005532058447,1.55467460978709,0.29005532058447,0.597000760620667
FAM174A,0.084010639918012,0.747062248360886,0.08670921465579,0.873364587550705,0.08670921465579,0.873364587550705,0.971193498999773
FAM174B,1.26610235513469,0.384557577951421,0.812494110080021,0.916728600537213,0.812494110080021,0.916728600537213,0.985043772651631
FAM184A,2.43246938939258,0.041151403977146,1.41786349256716,0.289482889201348,1.41786349256716,0.289482889201348,0.59656810490232
FAM184B,6.95911119038937,1.78440283829419E-09,2.27075893689567,0.068053491610995,2.27075893689567,0.068053491610995,0.263919669476656
FAM185A,0.327556368715653,0.304993060551657,0.329342556974834,0.566764545488826,0.329342556974834,0.566764545488826,0.823661302282392
FAM198B,3.43337471842382,0.00046539789813,2.91920351833999,0.017214171358869,2.91920351833999,0.017214171358869,0.110572904994113
FAM200A,0.668392687362792,0.047942030411644,0.671901798978662,0.174448518837329,0.671901798978662,0.174448518837329,0.454772845765471
FAM206A,-0.148910686912648,0.753077337597806,-0.150722212936834,0.809284062168477,-0.150722212936834,0.809284062168477,0.94699852149701
FAM20A,0.225697221567255,0.840637449220419,0.236436823160296,0.725918200305962,0.225697221567255,0.840637449220419,0.95813036445615
FAM20C,0.119383534681361,0.936290523234908,0.125725197053145,0.966503006941301,0.125725197053145,0.966503006941301,0.999899522891475
FAM210B,0.34088663006547,0.472508208563356,0.347573400956396,0.70362136604162,0.347573400956396,0.70362136604162,0.897382285437299
FAM212A,-0.623561290906504,0.434887915720167,-0.607385423051789,0.515621842645331,-0.607385423051789,0.515621842645331,0.788353015742701
FAM212B,-0.440229061779704,0.295260496879482,-0.428349664187818,0.506952252268559,-0.428349664187818,0.506952252268559,0.78431954441927
FAM213A,0.074961961971741,0.93342982831426,0.078527524117335,0.986960513993302,0.078527524117335,0.986960513993302,0.999899522891475
FAM217B,2.07567543904256,1.24235432531426E-08,2.07487044999344,0.002963999097693,2.07487044999344,0.002963999097693,0.033727326938919
FAM219A,-1.23935199393095,1.77691503018571E-05,-1.2245927753969,0.005696035743269,-1.2245927753969,0.005696035743269,0.052534190589894
FAM220A,0.887921634177101,0.002018007684572,0.8926857102411,0.106670306203055,0.8926857102411,0.106670306203055,0.341823202891283
FAM221A,0.043737169773164,0.962512770233944,0.04931181515763,0.975190686873618,0.04931181515763,0.975190686873618,0.999899522891475
FAM228B,-0.509728023022544,0.254235836121807,-0.509121645195083,0.441569468898149,-0.509121645195083,0.441569468898149,0.735566272543519
FAM229B,0.125974916070621,0.812874597899422,0.142489375278454,0.887582425500759,0.142489375278454,0.887582425500759,0.975496032941023
FAM24B,6.98774728955234,2.08956401509864E-09,2.32434271793556,0.165701276287776,2.32434271793556,0.165701276287776,0.439932443400438
FAM26F,-0.396673660243223,0.445659388504749,-0.364887917874667,0.567772327210428,-0.364887917874667,0.567772327210428,0.824474538281136
FAM35A,2.1027155939877,3.08557341604747E-12,2.00188245103581,0.001296752269678,2.00188245103581,0.001296752269678,0.018980676566181
FAM3C,1.14989438345559,0.001468864960168,0.999825789785548,0.131790383955228,0.999825789785548,0.131790383955228,0.385113106360227
FAM43A,0.985274619949619,0.187053357237152,0.996343581434173,0.459973375042371,0.996343581434173,0.459973375042371,0.749116132062677
FAM45A,-0.533190632358346,0.401465497501378,-0.349417507585115,0.461512080565552,-0.349417507585115,0.461512080565552,0.750733973171376
FAM46A,0.204293134369449,0.784797726175911,0.208822702455289,0.876757342340316,0.208822702455289,0.876757342340316,0.97244482470263
FAM50B,-0.00896581991142,0.939025556176213,-0.849068436102816,0.629917900412769,-0.00896581991142,0.939025556176213,0.992041234825737
FAM53A,-0.698226961322309,0.20474607140818,-0.670658050740013,0.450850341664641,-0.670658050740013,0.450850341664641,0.742434467663801
FAM57A,-0.446869299254121,0.550073008819489,-0.445338202554032,0.603742033963,-0.445338202554032,0.603742033963,0.846173775420295
FAM57B,0.038000565572926,0.964183107086779,0.105245364401604,0.958087785479483,0.038000565572926,0.964183107086779,0.999899522891475
FAM63A,-0.726216478192433,0.025673364375542,-0.72409419051991,0.143552874045212,-0.72409419051991,0.143552874045212,0.406797634573044
FAM63B,1.55746294647936,2.63578499983829E-06,1.47957127642621,0.005411302122711,1.47957127642621,0.005411302122711,0.050670897460556
FAM64A,-1.17933857139784,0.227475139682957,-1.16059922720786,0.303274751867503,-1.16059922720786,0.303274751867503,0.612067914906242
FAM72B,0.568353878135177,0.495095293458795,0.419226763680076,0.595773140536914,0.419226763680076,0.595773140536914,0.841751538856334
FAM78B,1.54629567750577,0.100939095941659,1.34146373433635,0.344857371771033,1.34146373433635,0.344857371771033,0.656157193908031
FAM83D,-0.564946081322902,0.361696576386843,-0.560119062685127,0.467765649677443,-0.560119062685127,0.467765649677443,0.755557768112663
FAM83F,-1.12384073237829,0.362947861687112,-1.03964179976594,0.554949153281858,-1.03964179976594,0.554949153281858,0.816090502471641
FAM83H,-0.331917687830744,0.539555572542631,-0.322177781697576,0.611677965502715,-0.322177781697576,0.611677965502715,0.850501002293378
FAM86B1,1.28299406752755,0.191570258397197,0.745436683885031,0.389644390889411,0.745436683885031,0.389644390889411,0.695349317426514
FAM86C1,-0.506662082066357,0.291991039976727,-0.501737044025712,0.4503764604137,-0.501737044025712,0.4503764604137,0.741938993557319
FAM89A,0.577863984627973,0.228502651210417,0.582913072076697,0.452523738272714,0.582913072076697,0.452523738272714,0.742908053670631
FAM8A1,1.05246057934462,0.000240289462149,0.99270705647967,0.027253636299253,0.99270705647967,0.027253636299253,0.148385555781685
FAM92A1,0.699252900470181,0.53152924572197,0.71577037272648,0.572290548540113,0.71577037272648,0.572290548540113,0.826161622757935
FANCB,1.57077966070081,0.001182166107635,1.58027960596982,0.038104322284336,1.58027960596982,0.038104322284336,0.184373903915107
FANK1,1.06470594882748,0.3595957063201,0.145567762436099,0.661444822421123,0.145567762436099,0.661444822421123,0.878300504161009
FAR2,0.390141917538561,0.659069993735033,0,0.905133865328383,0,0.905133865328383,0.982570527094041
FARP1,-0.217997655705235,0.713169314973705,0,0.920115051715195,0,0.920115051715195,0.985896734839695
FAT1,-0.441739224651286,0.482967036348268,-0.431265937095092,0.519832790547665,-0.431265937095092,0.519832790547665,0.791874104094987
FAT2,-1.62671386262982,0.03209998463353,-1.60332587550479,0.093261653387824,-1.60332587550479,0.093261653387824,0.31576432433888
FBF1,0.269296077424913,0.518258197165499,0.273878414133325,0.786727596078433,0.273878414133325,0.786727596078433,0.938674497164558
FBLIM1,0.698871283809033,0.309793703503111,0.719400835065251,0.298176354136572,0.698871283809033,0.309793703503111,0.617188880345468
FBLN2,-0.875811172587901,0.105759053245586,-0.864888729699142,0.13532329202779,-0.864888729699142,0.13532329202779,0.392397898406479
FBLN5,-3.00959091462382,1.25778419081548E-05,-2.87329015184172,0.000419846440475,-2.87329015184172,0.000419846440475,0.008400846505675
FBN2,0.284913632289072,0.778446573396712,0,0.877980621524369,0,0.877980621524369,0.97341527684889
FBP1,-0.739900903627672,0.341112774642092,-0.73570369302095,0.403304098856848,-0.73570369302095,0.403304098856848,0.707803919777958
FBXL16,-0.415251306395982,0.296487249075918,-0.402446744580438,0.502576312571465,-0.402446744580438,0.502576312571465,0.781313091118775
FBXL2,-0.697519108356122,0.494593234497144,-0.385192981915241,0.683044076292732,-0.385192981915241,0.683044076292732,0.887400883714413
FBXL8,0.555602087936887,0.133462149557045,0.561816923279279,0.302105792488376,0.561816923279279,0.302105792488376,0.611031135319291
FBXO15,-0.505794280319241,0.4757649866446,-0.484635745064226,0.610627720662331,-0.484635745064226,0.610627720662331,0.849609198014658
FBXO2,-0.683310262058022,0.072681900690067,-0.638687865705677,0.234802494957827,-0.638687865705677,0.234802494957827,0.535627208765138
FBXO27,0.42985841249831,0.652260551500292,0,0.885739515397903,0,0.885739515397903,0.975131789159299
FBXO32,-0.686582071603423,0.107010274866894,-0.685077131917008,0.224843532542147,-0.685077131917008,0.224843532542147,0.521890111796368
FBXO36,-0.1136061908085,0.845471163776625,-0.108200428749134,0.86099766625882,-0.108200428749134,0.86099766625882,0.967402148525047
FBXO43,2.035395310746,0.04515785124297,1.83207618573673,0.253680701790763,1.83207618573673,0.253680701790763,0.557733408961032
