	GpB_1	GpB_2	GpA_1	GpA_2	GpA_3	GpA_4	GpA_5	GpA_6
ZNF586	308	225	339	302	231	297	439	326
ZNF587	1123	731	1173	981	977	1125	1448	1391
ZNF587B	511	370	386	581	419	539	615	582
ZNF589	1027	776	2561	604	966	1863	960	1674
ZNF592	2593	1843	5721	3055	2155	3197	5277	3480
ZNF593	290	224	327	626	321	457	453	294
ZNF598	1085	1207	1539	1850	1384	1420	1642	851
ZNF600	583	289	356	127	155	130	304	277
ZNF606	346	159	362	108	169	238	277	247
ZNF609	1620	1391	2698	3225	2173	3009	2384	2900
ZNF611	439	320	296	220	300	249	358	442
ZNF614	764	545	400	259	344	294	461	387
ZNF615	405	269	202	113	184	94	179	181
ZNF616	236	195	197	72	155	130	132	164
ZNF622	1099	507	1448	1307	1578	1060	1244	855
ZNF623	912	506	1413	644	1118	980	1200	815
ZNF627	603	348	507	307	726	416	546	343
ZNF638	3283	4849	2297	995	1499	1662	2005	1728
ZNF639	1471	954	1022	644	587	1018	1463	986
ZNF641	513	372	1037	467	640	844	869	631
ZNF644	1939	2488	1173	475	706	615	881	1264
ZNF646	696	720	1331	1790	1109	1314	1203	1437
ZNF649	192	211	166	231	253	219	364	525
ZNF652	1790	926	1101	590	754	879	1052	1565
ZNF654	587	465	191	144	379	163	253	220
ZNF655	2307	1678	2014	1110	1390	1772	1791	1565
ZNF664	4225	4089	3656	1855	2277	2869	4159	2968
ZNF668	198	153	188	337	184	202	249	180
ZNF669	181	168	206	148	198	162	184	188
ZNF671	558	256	1016	444	579	641	684	562
ZNF672	1456	817	1996	1697	1346	1787	1887	2840
ZNF675	271	409	320	131	163	168	313	293
ZNF678	428	549	403	156	191	287	470	542
ZNF687	1410	1067	2740	2303	2490	1928	2263	1652
ZNF689	283	322	482	492	372	506	542	526
ZNF691	224	168	383	242	248	329	271	262
ZNF692	627	389	655	539	467	656	940	439
ZNF699	252	57	159	112	171	105	158	159
ZNF7	501	339	777	542	539	618	727	495
ZNF700	544	415	335	300	359	337	349	401
ZNF701	331	290	227	127	141	199	220	348
ZNF706	1317	1014	1121	1607	1355	1310	1112	881
ZNF710	900	773	1362	1805	1350	1003	1247	1539
ZNF720	454	232	581	202	291	371	421	279
ZNF721	647	1047	613	147	259	328	381	538
ZNF736	2143	1109	2154	754	1279	1328	1667	1623
ZNF737	1536	634	1266	227	180	610	694	927
ZNF740	2586	1915	4596	3063	2790	3613	4389	3737
ZNF746	500	351	729	715	588	552	678	587
ZNF749	322	196	335	240	231	326	499	267
ZNF75A	965	679	846	290	423	625	551	419
ZNF76	814	766	1316	1091	1079	977	1504	888
ZNF761	495	441	351	235	186	263	457	354
ZNF764	161	168	269	224	152	200	236	231
ZNF765	375	590	230	164	169	238	265	269
ZNF766	1149	663	797	369	522	573	709	747
ZNF768	928	688	1240	1078	961	1112	1118	692
ZNF770	5208	3553	2504	975	1277	1842	2869	1757
ZNF776	941	466	823	455	586	546	706	860
ZNF777	528	317	833	636	610	572	709	565
ZNF778	252	155	318	213	242	291	266	176
ZNF780A	915	453	601	376	391	500	488	456
ZNF783	839	473	1140	967	777	918	1225	726
ZNF787	805	482	585	1594	888	734	983	802
ZNF79	214	130	368	207	205	288	221	286
ZNF791	911	375	592	451	633	582	628	471
ZNF8	149	121	197	305	223	269	298	262
ZNF800	1386	1027	656	604	714	603	985	780
ZNF805	932	367	915	480	859	693	1081	761
ZNF808	481	335	322	200	192	292	380	376
ZNF81	539	360	511	188	200	333	444	633
ZNF813	406	297	168	132	66	166	285	295
ZNF814	500	410	426	492	368	486	628	514
ZNF816	231	226	172	81	98	136	145	191
ZNF827	1360	610	2166	1331	1223	1350	1459	2180
ZNF830	619	350	611	238	360	496	617	341
ZNF839	359	338	716	277	392	521	507	325
ZNF84	1253	2045	846	381	618	549	628	676
ZNF841	775	568	454	326	262	347	677	592
ZNF844	207	189	281	146	259	194	248	286
ZNF845	326	461	178	110	135	154	194	336
ZNF85	238	189	127	137	38	340	98	199
ZNF852	147	100	228	109	120	180	219	221
ZNF865	865	461	1208	1174	793	912	1179	607
ZNF91	364	903	394	191	244	236	271	560
ZNF92	443	829	261	84	118	230	221	386
ZNF93	214	405	214	119	175	261	183	297
ZNFX1	8607	4079	18055	11993	10704	10674	15670	8203
ZNHIT1	834	426	1442	859	533	713	891	661
ZNHIT2	291	156	240	352	339	240	381	372
ZNHIT3	863	537	815	797	1030	843	830	924
ZNHIT6	2053	945	1322	564	869	1055	1211	791
ZNRD1	602	301	934	807	819	897	714	521
ZNRF2	1277	891	1572	727	1143	1000	1081	984
ZPR1	1705	1048	2913	1776	1911	2424	2788	1467
ZRANB1	2402	1203	2332	1267	1939	1588	2113	1374
ZRANB2	3965	3636	2118	1494	2152	2355	2799	2525
ZRANB3	189	337	178	128	164	237	187	122
ZRSR2	540	535	893	333	543	708	521	547
ZSCAN12	701	759	586	203	695	474	307	372
ZSCAN16	175	130	200	104	172	135	164	144
ZSCAN2	442	396	1400	442	1802	533	630	639
ZSCAN21	133	127	149	199	186	119	203	142
ZSCAN25	380	346	602	558	451	469	564	573
ZSCAN26	447	289	448	199	329	304	375	272
ZSCAN29	1748	1005	2111	824	1271	1351	1740	1182
ZSCAN30	611	452	832	243	618	540	416	457
ZSCAN32	690	399	1020	549	672	816	990	710
ZSCAN9	456	261	772	278	402	469	534	436
ZSWIM1	288	129	337	305	273	336	347	373
ZSWIM3	201	105	370	209	284	255	263	233
ZSWIM4	1050	352	1304	825	350	1194	995	430
ZSWIM6	214	389	288	207	261	186	249	272
ZSWIM8	1520	1361	2746	3852	3108	2150	1862	1942
ZUFSP	830	483	423	289	368	418	453	476
ZW10	610	525	672	464	737	675	667	598
ZWILCH	564	852	345	415	494	679	516	497
ZWINT	351	1362	651	1571	1241	2339	775	2378
ZXDA	220	136	390	129	302	168	317	268
ZXDB	531	274	643	250	473	376	647	469
ZXDC	630	577	915	783	792	768	857	849
ZYG11B	1194	615	884	621	1150	800	978	739
ZYX	1725	1382	1494	2556	1422	1667	2285	824
ZZEF1	2712	1876	5216	3609	3340	3643	4810	3441
ZZZ3	3230	1805	1990	750	752	1391	1695	1690
A1BG-AS1	84	62	131	109	87	90	93	58
A1CF	1	0	0	3	1	1	2	1
A2M	3	66	13	73	216	75	24	304
A2ML1	1	4	2	4	1	1	1	3
A4GALT	36	251	42	171	175	22	25	72
AADACL3	2	1	2	4	2	2	3	2
AAK1	407	484	385	627	919	395	494	319
AAMDC	98	50	92	230	78	112	95	64
AARSD1	7	1	6	2	2	2	2	2
AASS	20	129	9	11	56	31	15	12
AATBC	1	8	3	5	11	1	2	13
AATK	2	35	9	33	142	2	4	5
ABALON	37	9	97	29	30	69	82	15
ABCA1	48	757	40	29	492	52	32	47
ABCA10	26	32	21	11	15	11	19	19
ABCA11P	130	71	162	70	112	118	105	135
ABCA12	1	0	1	4	1	1	2	1
ABCA13	2	1	3	4	2	2	3	2
ABCA17P	1	0	2	4	3	1	1	3
ABCA2	95	294	152	417	589	108	95	226
ABCA3	133	150	197	182	561	110	148	77
ABCA4	5	1	10	12	6	6	8	5
ABCA8	5	1	7	17	5	5	6	4
ABCA9	149	37	87	33	16	18	28	226
ABCB1	61	51	81	146	44	147	140	65
ABCB4	161	137	137	65	225	183	76	11
ABCB5	1	0	3	8	4	1	1	1
ABCB9	26	18	33	127	113	40	29	45
ABCC11	0	0	2	4	1	0	6	1
ABCC12	3	1	4	6	3	3	4	3
ABCC2	91	32	84	22	32	54	78	62
ABCC3	5	70	9	36	251	23	6	260
ABCC6	1	6	2	2	1	1	1	1
ABCC8	40	0	2	7	5	1	1	17
ABCC9	51	180	18	62	21	14	17	21
ABCD1	108	222	104	282	193	106	182	146
ABCG2	0	9	2	1	0	9	0	0
ABCG4	4	1	8	11	11	5	6	4
ABHD1	24	4	18	29	12	17	17	10
ABHD11	39	95	38	198	57	118	59	102
ABHD11-AS1	3	4	4	15	46	2	10	1
ABHD13	650	630	571	327	540	387	672	538
ABHD14A	59	56	111	81	61	77	72	145
ABHD16B	3	1	8	3	8	4	4	7
ABHD17A	59	185	33	192	75	48	45	85
ABI3	51	32	64	197	313	203	122	46
ABI3BP	1	0	0	3	1	1	2	1
ABLIM2	8	7	8	37	27	16	8	15
ABLIM3	9	8	27	33	10	11	13	8
ACACB	44	119	163	371	261	283	99	385
ACAD11	46	26	79	12	55	56	30	21
ACADL	10	2	19	18	11	12	14	9
ACAN	3	5	2	6	4	4	5	3
ACAP3	123	104	160	301	264	147	161	226
ACBD4	296	175	353	436	245	368	320	344
ACBD7	10	5	7	11	5	8	3	20
ACCS	60	73	130	58	118	48	73	152
ACE	7	101	108	172	2907	63	10	157
ACER2	24	23	38	31	55	42	30	68
ACER3	450	502	324	344	381	384	592	376
ACHE	110	461	155	229	71	201	78	64
ACKR1	1	2	5	3	1	10	2	0
ACKR2	9	0	3	2	18	7	1	1
ACKR3	77	68	32	189	561	30	13	99
ACOT1	20	41	14	30	22	22	18	17
ACOT11	3	38	6	28	29	17	7	4
ACOT4	132	238	188	59	101	137	192	69
ACOXL	16	19	21	69	5	17	11	2
ACP6	124	102	465	120	79	338	388	201
ACPP	3	10	34	4	8	3	3	155
ACRBP	43	77	37	45	182	20	50	141
ACRC	129	71	98	48	107	91	78	44
ACRV1	1	0	1	4	1	1	1	1
ACSBG1	68	4	31	48	14	7	27	248
ACSBG2	2	2	0	3	4	2	2	4
ACSL6	25	14	23	48	5	24	24	48
ACSM1	13	4	44	8	33	20	13	17
ACSM3	124	92	141	75	126	279	311	133
ACTA1	41	3	8	15	30	4	30	15
ACTA2-AS1	32	7	21	22	3	7	11	69
ACTBL2	4	1	7	8	4	4	5	3
ACTC1	34	5	25	43	9	93	11	16
ACTG1P17	25	13	29	126	51	53	39	27
ACTG1P20	55	51	111	94	68	128	133	121
ACTG1P4	17	14	21	25	34	45	17	9
ACTG2	9	5	14	26	21	11	13	18
ACTL10	14	27	27	40	62	37	29	42
ACTN2	4	1	9	15	5	5	6	4
ACTN3	17	9	28	81	314	15	17	22
ACTR3B	151	146	168	182	141	231	276	107
ACTR3C	7	14	6	18	7	12	6	15
ACTRT3	12	11	25	20	19	14	12	15
ACVR1B	499	558	396	684	450	555	649	142
ACVR1C	15	66	6	9	4	2	17	14
ACVR2A	10	389	44	95	71	50	55	96
ACVR2B	500	206	409	270	365	342	304	373
ACVRL1	3	256	14	88	80	15	23	71
ACY1	3	5	2	18	2	4	6	6
ACY3	1030	31	562	49	3	545	313	1045
ACYP1	195	182	204	155	124	290	189	227
ACYP2	41	56	88	15	45	38	36	73
ADAL	191	257	250	111	175	174	257	196
ADAM11	6	63	21	56	11	20	22	15
ADAM12	6	118	4	16	151	0	7	9
ADAM1A	130	268	122	108	160	130	118	102
ADAM20	1	1	2	0	2	1	1	2
ADAM20P1	6	8	5	1	4	2	2	1
ADAM21	6	4	7	2	3	27	15	3
ADAM22	176	43	14	40	71	141	2	47
ADAM23	1	20	2	1	5	1	4	4
ADAM29	103	0	105	7	0	63	9	146
ADAM33	9	1	6	13	3	3	3	2
ADAMTS1	1	3	2	6	1	6	6	12
ADAMTS10	1	21	6	19	7	9	12	7
ADAMTS12	2	1	3	5	2	2	2	2
ADAMTS13	26	43	60	24	39	18	21	17
ADAMTS14	1	210	8	57	54	21	13	13
ADAMTS15	1	0	2	4	1	1	1	1
ADAMTS16	3	1	3	2	3	3	3	3
ADAMTS17	1	3	1	2	3	5	1	1
ADAMTS19	1	0	1	6	1	1	6	1
ADAMTS2	5	15	15	31	6	6	7	5
ADAMTS4	6	124	22	54	28	22	8	31
ADAMTS5	2	11	2	4	2	2	2	2
ADAMTS6	542	116	508	154	73	299	419	572
ADAMTS7	8	16	58	215	80	57	50	27
ADAMTS7P1	0	7	0	0	0	0	1	5
ADAMTS9	1	2	1	2	1	1	1	1
ADAMTSL2	1	2	7	16	12	5	5	1
ADAMTSL3	4	0	2	3	1	1	1	16
ADAMTSL4	6	614	41	179	92	38	84	185
ADAMTSL4-AS1	16	16	5	4	11	1	1	14
ADAMTSL5	0	6	4	5	4	3	4	1
ADARB1	478	508	544	580	1470	495	529	92
ADARB2	1	12	1	20	1	11	2	10
ADAT3	93	48	75	127	68	42	70	82
ADCK5	113	112	119	184	138	138	122	154
ADCY1	0	163	8	10	5	39	11	12
ADCY10	1	2	2	5	3	1	6	3
ADCY10P1	99	62	77	31	33	53	44	115
ADCY4	5	31	10	32	18	21	4	15
ADCY5	26	41	31	48	9	4	5	21
ADCY6	7	162	70	135	41	79	30	43
ADCY9	12	588	35	243	68	126	38	106
ADCYAP1R1	3	1	1	6	3	3	4	3
ADD2	2	678	17	63	785	66	18	18
ADD3-AS1	2	1	4	4	2	4	1	6
ADGRA2	15	152	12	51	50	28	15	22
ADGRA3	35	91	35	52	12	42	16	45
ADGRB1	46	59	70	87	52	53	52	23
ADGRB2	26	23	42	122	174	46	10	61
ADGRB3	1	3	1	4	1	1	2	1
ADGRD1	1	57	5	26	39	1	6	79
ADGRE1	15	73	168	14	10	176	197	8
ADGRE3	17	22	9	5	13	8	5	1
ADGRE4P	4455	701	1962	632	181	2888	80	1053
ADGRF3	20	27	40	67	18	84	23	76
ADGRF4	0	0	0	0	0	0	0	0
ADGRG1	21	274	56	138	92	78	30	311
ADGRG2	0	37	5	24	41	15	18	108
ADGRG3	0	61	22	38	50	37	98	28
ADGRG4	4	1	12	4	5	5	20	4
ADGRG5	18	140	30	38	480	18	13	37
ADGRG6	1	10	0	3	1	1	1	1
ADGRL1	24	97	87	153	247	55	72	120
ADGRL2	1	0	1	1	1	1	1	1
ADGRL3	4	6	9	11	5	5	20	4
ADGRV1	3	1	3	7	3	3	12	6
ADH7	10	2	11	20	11	12	15	9
ADHFE1	16	20	17	27	15	30	20	66
ADM	5	110	1	18	16	2	2	25
ADM2	168	398	342	76	561	549	196	43
ADM5	47	63	50	43	37	26	54	8
ADNP-AS1	16	12	24	12	15	19	23	28
ADORA1	1	0	2	3	3	1	1	1
ADORA2A-AS1	14	46	37	39	75	25	23	19
ADORA2B	5	11	22	34	51	47	7	16
