,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,fold change
CYFIP2,6349.06301297461,0.126675387511022,0.428151334110878,0.295865918003227,0.767332479891438,0.944436218155422,1.0917748641427
CYGB,15.8450383307438,-0.484515966267523,1.41822369711578,-0.341635785139451,0.732625003188105,NA,0.714736828583357
CYHR1,231.86973479722,-0.053705618470313,0.476972678112801,-0.112596844504397,0.910350186861997,0.978377397282013,0.963458467401643
CYLD,2752.74378910324,-0.896271940620239,0.519554328657515,-1.72507838195888,0.084513347854192,0.390822627467955,0.53727330361863
CYP11A1,22.8273670088884,0.821773412140303,1.16013838902043,0.70834084960689,0.478733615237187,NA,1.76757742684877
CYP1B1,297.316306385063,-0.423559363706225,1.59870610852246,-0.264938853644391,0.791056566596275,0.952043122075041,0.745582878877919
CYP20A1,368.272910593132,0.422704103234859,0.403584775230893,1.04737375931247,0.294927229360456,0.69451691919731,1.3404376396137
CYP26B1,7.55567500294503,1.91300075839134,1.34837502375877,1.41874532283948,0.155973278521025,NA,3.76591583781896
CYP27A1,54.2883034368198,0.015263887398946,2.09909495635762,0.007271651695754,0.994198112511456,0.998883545892356,1.01063628790115
CYP27B1,161.091120072753,0.6272122979435,1.31823844380651,0.475795787090215,0.634219871542209,0.897375866539965,1.5445775397934
CYP2C18,45.0155643726304,-0.033287134722843,1.6018491604698,-0.020780442718514,0.983420798820733,0.997102818580706,0.977191259978403
CYP2J2,10.5614826384709,-0.674893443421502,1.47822465451439,-0.456556749585001,0.647989672229229,NA,0.626378481537374
CYP2R1,94.4403663668397,-1.15290761264347,0.702904221783353,-1.64020584442986,0.100962374547159,0.425469557143567,0.449717954206184
CYP2S1,15.6393864160368,-0.24756196116362,2.1639078853079,-0.114405036759869,0.908916721456116,NA,0.842318664114541
CYP2U1,125.804491338028,0.284662281236974,0.873001698873559,0.326072998029988,0.744369125961757,0.938195515162077,1.21812508084877
CYP46A1,6.13201752488781,0.763937677010104,1.33395288328589,0.572687151534404,0.566856538517616,NA,1.69811913425267
CYP4B1,3.56135492086742,0.077646819393439,1.38558328080795,0.056039085105128,0.955310670655339,NA,1.05529534323214
CYP4F11,7.81984305954869,2.59034369515855,1.38270423214875,1.87338957597106,0.06101460840469,NA,6.02242154825507
CYP4F12,4.72620281994662,1.9681871206732,1.47609276512652,1.33337630748736,0.182408343467165,NA,3.91276135450611
CYP4F2,7.91797596006717,1.91976048437425,1.50635302675083,1.27444261091647,0.202506599131478,NA,3.78360238267566
CYP4F3,5.55278811937735,3.04616494028285,2.272706370212,1.34032490083561,0.180139739374475,NA,8.26013259343164
CYP4F8,3.74861874242201,1.26887171207447,1.77833939183006,0.713514933034632,0.475527175933144,NA,2.40973034142342
CYP4V2,103.08936126187,-0.976616769858262,0.673892356984348,-1.449217756718,0.14727678020302,0.511352914967523,0.508170041263874
CYP51A1,841.651752977024,-0.349060869117955,0.658969789371991,-0.52970693762853,0.596315137096802,0.882984629657742,0.785094993829746
CYP7B1,79.3961518822427,-0.05811645236894,1.90129785916419,-0.030566726874919,0.975615077850893,0.995157432141688,0.960517329180213
CYR61,68.8791746738668,1.5498303260742,1.19212520508031,1.3000566714549,0.193581546471831,0.580846216733413,2.92782703282267
CYSLTR1,195.464684336264,-0.346616704753494,1.00779203318391,-0.343936738275684,0.730893862261615,0.935337745962125,0.786426202116164
CYSLTR2,8.81714311729091,-0.694869537828122,2.68542481323348,-0.258755908712797,0.795823579210154,NA,0.617765180225747
CYSTM1,335.148409400434,0.991209785019062,0.904847310573579,1.09544425168346,0.273322056333242,0.670989346992774,1.98785122284222
CYTH1,4512.84700911535,0.404174961707735,0.500825481325601,0.807017567552577,0.41965636196728,0.789306272062487,1.32333191621566
CYTH2,535.419636614771,0.216584859088634,0.367459999519232,0.589410709660927,0.555585793972227,0.86417479295252,1.16197969538887
CYTH3,34.5979594612108,-0.037239229418173,0.92205604620645,-0.040387164718873,0.967784462971826,NA,0.974518021748223
CYTH4,406.215707436283,0.754561112712187,0.507772244766214,1.48602276018375,0.137273100883149,0.495470849249924,1.68711827005378
CYTIP,2262.40405781561,0.40702634264014,0.518881878768235,0.784429673293608,0.432788032618564,0.797217170665967,1.32594997103139
D2HGDH,93.8079669722377,0.771877873368306,0.461248395182217,1.67345378635599,0.094237996970409,0.411423465181566,1.70749088060671
DAAM1,245.249289200901,-0.969337646438688,0.838243452853303,-1.15639155085453,0.247521035996428,0.645206502324358,0.510740494338797
DAB2,58.4667736828806,-0.105635998809813,1.76289479936441,-0.05992189599056,0.952217840749273,0.990544776940029,0.929395137011429
DAB2IP,42.1375332074308,1.21883613777963,1.04514670794178,1.16618664970002,0.243538989045149,NA,2.32758868478682
DACH2,1.9910366595657,1.42331696349739,2.26571746209517,0.628197022492474,0.529874880599283,NA,2.68201436330674
