,GPB.vs.GPA.Gene,GPB.vs.GPA.mRNA_logFC,GPB.vs.GPA.mRNA_FDR,GPB.vs.GPA.Change_type,GPB.vs.GPA.P.value,GPB.vs.GPA.FDR,GPB.vs.GPA.Direction
2759,GTF2A2,0.154727694646359,0.943777514508904,translational_only,0.780985666607539,0.988109007208751,1
2760,GTF2B,-0.155928058479887,0.960442662941058,translational_only,0.922569959251882,0.997257831813356,-1
2761,GTF2E1,-0.32946877936709,0.88461448602021,translational_only,0.843888409733344,0.993749382864656,1
2762,GTF2E2,-0.563342325063381,0.668288077094457,translational_only,0.189603992890585,0.734509744450904,1
2763,GTF2F1,-0.524449921590244,0.653566100986998,translational_only,0.382802354291594,0.898728096288094,1
2764,GTF2F2,0.747505060865405,0.595089990324038,translational_only,0.356196270120506,0.881253980752334,-1
2765,GTF2H1,0.213093187521726,0.908113678926617,translational_only,0.916429989168619,0.995684212305979,-1
2766,GTF2H3,0.41542757415038,0.755626866514647,translational_only,0.848039448264436,0.993749382864656,1
2767,GTF2H4,-0.676431406427713,0.696330854238799,translational_only,0.481193963067956,0.934977639118959,-1
2768,GTF2I,0.157785182991527,0.941762119960882,translational_only,0.129469042468584,0.617050585712843,-1
2769,GTF3A,-0.184309435193743,0.938939736267034,translational_only,0.839621564643018,0.993749382864656,1
2770,GTF3C1,-0.671501945400076,0.524059485769354,translational_only,0.432663802301154,0.921577598925268,-1
2771,GTF3C2,-0.661839757526507,0.508579767477911,translational_only,0.775313023889829,0.987192830360673,-1
2772,GTF3C3,0.466449038652747,0.712941194792389,translational_only,0.221767825171982,0.767844101672481,-1
2773,GTF3C4,-0.645180741523376,0.573289875445332,translational_only,0.889916452465013,0.994344153929159,1
2774,GTF3C5,-0.415490186265979,0.814744346174947,translational_only,0.709116809868169,0.984304655913572,-1
2775,GTF3C6,-0.039892731871612,1,translational_only,0.634969766686866,0.970886938777152,1
2776,GTPBP1,-0.920702722835842,0.232283688079658,translational_only,0.965267501096595,0.998549688396844,1
2777,GTPBP10,0.79512176693428,0.550108391777962,translational_only,0.238360648316927,0.786791445842344,-1
2778,GTPBP2,-0.16430376820799,0.960961772329493,translational_only,0.910709745604184,0.995408174822243,1
2779,GTPBP3,-0.018331548680687,1,translational_only,0.613880807015637,0.967532221560978,-1
2780,GTPBP4,0.592214170725612,0.530270069371756,translational_only,0.206527077340703,0.753360347473061,-1
2781,GUCD1,-0.774995661312004,0.453702683251325,translational_only,0.135763695103246,0.627441572616434,1
2782,GUF1,0.973155574527443,0.248782247544884,translational_only,0.652698664190714,0.973437275312085,-1
2783,GUK1,-0.095031136951808,0.996807808884323,translational_only,0.119566142018659,0.599395976852392,-1
2784,GUSB,-0.199351894361385,0.950080264853883,translational_only,0.540398307171248,0.950880936025228,-1
2785,GYG1,-0.913855759879633,0.686044287316802,translational_only,0.947370225368636,0.998374767908298,-1
2786,GYLTL1B,0.228090036880175,0.934571895078802,translational_only,0.009500898935263,0.140054708676351,-1
2787,GYPC,-0.273991880292957,0.935448524367803,translational_only,0.977973026509812,0.998549688396844,-1
2788,GYS1,-0.683410404965997,0.536819856412378,translational_only,0.938108175657668,0.99783695426664,1
2789,H1FX,0.087582198828861,0.98454809687638,translational_only,0.01198505082198,0.163907443292668,-1
2790,H2AFJ,0.204179687078899,0.952199745870031,translational_only,0.000810950220791,0.026876255251304,-1
2791,H2AFV,-0.095926456762061,0.988907246690009,translational_only,0.115201783126616,0.592576679644221,1
2792,H2AFX,0.075479396089077,0.98956812928009,translational_only,0.057789489907302,0.429413438762025,-1
2793,H2AFY,-0.045129724036469,1,translational_only,0.508708026408934,0.941353502275978,1
2794,H2AFZ,0.030668510777558,1,translational_only,0.983185036239606,0.998770916316385,1
2795,H3F3B,0.285688452846802,0.815767266406496,translational_only,0.237252539856769,0.784645237508265,1
2796,H3F3C,-0.558615906402714,0.889567666031311,translational_only,0.001094111531406,0.033259856760417,-1
2797,H6PD,0.010553879681328,1,translational_only,0.086959981592898,0.52167097342079,1
2798,HAAO,0.02679261647354,1,translational_only,0.364793697247572,0.888015234726403,-1
2799,HABP4,-0.129956873555827,0.996774731505479,translational_only,0.86709439279905,0.994344153929159,1
2800,HACD2,0.09437582272231,0.984945408998969,translational_only,0.053334613656961,0.414455865331641,-1
2801,HACD3,0.251323204360817,0.904814783300411,translational_only,0.649130650590573,0.973437275312085,1
2802,HACE1,0.569590733228547,0.72752718165948,translational_only,0.899250791692223,0.994746689651404,1
2803,HACL1,-0.157337304561367,0.980652906773202,translational_only,0.980240583926142,0.998770916316385,-1
2804,HADH,-0.382959128610027,0.852937945802736,translational_only,0.840303944567655,0.993749382864656,-1
2805,HADHA,-0.197132082509455,0.9253846137114,translational_only,0.815685120105722,0.993749382864656,1
2806,HADHB,-0.276173296728235,0.88931713624292,translational_only,0.8565840377806,0.993753117863496,-1
2807,HAGH,-0.285186956819222,0.923576222248411,translational_only,0.045971761649305,0.386460565643165,-1
2808,HAPLN3,-1.52893872642889,0.527895981596286,both,0.970935417802598,0.998549688396844,1
2809,HARS,-0.533089745952983,0.651086843102422,translational_only,0.78214675316803,0.988293938618222,1
2810,HARS2,-0.42172209618352,0.786129392033466,translational_only,0.444900982925103,0.922370477993707,1
2811,HAT1,0.868564642164911,0.304435274868969,translational_only,0.006034509062545,0.104284137466726,-1
2812,HAUS1,0.015572915308761,1,translational_only,0.61005784969239,0.966934901253533,-1
2813,HAUS2,-0.131073451243551,0.980517588051382,translational_only,0.360688997090435,0.885893854027994,1
2814,HAUS3,0.761545543730611,0.55578146427885,translational_only,0.675155774833263,0.978611827582197,-1
2815,HAUS4,-0.807298487446702,0.529166981160087,translational_only,0.367504980457481,0.88938438796505,1
2816,HAUS5,-0.577184913269528,0.755386330864967,translational_only,0.729545388051098,0.984436711240199,-1
2817,HAUS6,1.69580447603145,0.018485958406668,both,0.036237729351737,0.334550366808246,-1
2818,HAUS7,-0.500587353624377,0.853326930658665,translational_only,0.822851971410076,0.993749382864656,-1
2819,HAUS8,-0.8096911587321,0.703964394275141,translational_only,0.861161997044667,0.994053336663229,-1
2820,HAX1,-0.41846551201833,0.77075481665882,translational_only,0.539361474552365,0.950844136437228,1
2821,HBP1,-0.294431041679288,0.879283464373445,translational_only,0.953959090770067,0.998549688396844,-1
2822,HBS1L,0.565262389613153,0.612199263056145,translational_only,0.163035505130268,0.684614574185515,-1
2823,HCCS,-0.473884009565668,0.804600614529895,translational_only,0.857789573141277,0.993809523226673,-1
2824,HCFC1,-0.847265687194557,0.452946809542781,translational_only,0.222340931075124,0.769350061211924,-1
2825,HCFC1R1,-0.222200573554517,0.977177554780078,translational_only,0.251854931251332,0.802451293119748,-1
2826,HCFC2,0.838827262767816,0.591650981955074,translational_only,0.192915712683464,0.735917288378494,-1
2827,HCLS1,-0.365488063140904,0.80342760171186,translational_only,0.848231645993696,0.993749382864656,1
2828,HCST,-0.310926041129622,0.931995774725868,translational_only,0.377001009999943,0.895272845836139,-1
2829,HDAC1,-0.390453169121447,0.784602787555804,translational_only,0.755307818237022,0.984436711240199,-1
2830,HDAC10,-0.406466895473616,0.907595157077564,translational_only,0.235283953996283,0.781692963762921,-1
2831,HDAC2,0.645945335660345,0.458374468935416,translational_only,0.52507941343043,0.944223449842686,-1
2832,HDAC3,-0.600635483152719,0.599360485867903,translational_only,0.703586348121795,0.983927717172864,1
2833,HDAC4,-0.436839911792153,0.898726825950373,translational_only,0.854773887046625,0.993749382864656,1
