,Control.vs.Treated.Gene,Control.vs.Treated.mRNA_logFC,Control.vs.Treated.mRNA_FDR,Control.vs.Treated.Change_type,Control.vs.Treated.P.value,Control.vs.Treated.FDR,Control.vs.Treated.Direction
231,ACTL7A,2.26666070908328,1,both,NA,NA,1
232,ACTL7B,0,1,translational_only,NA,NA,1
233,ACTL8,0,1,translational_only,NA,NA,1
234,ACTL9,0,1,translational_only,NA,NA,1
235,ACTN1,0.311130323044386,1,translational_only,0.627464446796965,1,-1
236,ACTN1-AS1,-3.24001955333071,1,both,NA,NA,1
237,ACTN2,0,1,translational_only,NA,NA,1
238,ACTN3,0,1,translational_only,NA,NA,1
239,ACTN4,0.21392127578,1,translational_only,0.791271869134903,1,1
240,ACTR10,-0.622812812631843,1,translational_only,NA,NA,1
241,ACTR1A,0.012179285483971,1,translational_only,0.690342173310799,1,1
242,ACTR1B,-0.796069346538339,1,translational_only,NA,NA,1
243,ACTR2,0.246593481326773,1,translational_only,0.525890768979272,1,-1
244,ACTR3,0.557851385353202,1,translational_only,0.028730668817938,0.53823497555331,-1
245,ACTR3B,-1.35825266500107,1,translational_only,NA,NA,1
246,ACTR3BP2,0,1,translational_only,NA,NA,1
247,ACTR3BP5,0,1,translational_only,NA,NA,1
248,ACTR3C,0,1,translational_only,NA,NA,1
249,ACTR5,0.780700136094288,1,translational_only,NA,NA,1
250,ACTR6,0.26251733944511,1,translational_only,NA,NA,1
251,ACTR8,1.40316237960305,1,translational_only,NA,NA,1
252,ACTRT1,0,1,translational_only,NA,NA,1
253,ACTRT2,0,1,translational_only,NA,NA,1
254,ACTRT3,0.32247371060201,1,translational_only,NA,NA,1
255,ACVR1,-0.545417682752842,1,translational_only,NA,NA,1
256,ACVR1B,0.832167041752256,1,translational_only,NA,NA,1
257,ACVR1C,0,1,translational_only,NA,NA,1
258,ACVR2A,0.436491191156821,1,translational_only,0.598073022582132,1,-1
259,ACVR2B,1.26195048345988,1,translational_only,NA,NA,1
260,ACVR2B-AS1,0.243258441826127,1,translational_only,0.943814227940025,1,1
261,ACVRL1,-0.698036233692147,1,translational_only,NA,NA,1
262,ACY1,2.26670432067388,1,both,NA,NA,1
263,ACY3,0,1,translational_only,NA,NA,1
264,ACYP1,-0.5263363291995,1,translational_only,NA,NA,1
265,ACYP2,0.046464134363647,1,translational_only,0.700333391503544,1,-1
266,ADA,1.55088378019236,1,both,NA,NA,1
267,ADAD1,0,1,translational_only,NA,NA,1
268,ADAD2,0,1,translational_only,NA,NA,1
269,ADAL,0.093092333447876,1,translational_only,0.675885474776803,1,-1
270,ADAM10,0.225399541792415,1,translational_only,NA,NA,1
271,ADAM11,2.26140735322517,1,both,NA,NA,1
272,ADAM12,0.640484177889876,1,translational_only,NA,NA,1
273,ADAM15,0.247980394990599,1,translational_only,NA,NA,1
274,ADAM17,0.00406417497255,1,translational_only,0.927652945063949,1,-1
275,ADAM18,0,1,translational_only,NA,NA,1
276,ADAM19,0.771363325709869,1,translational_only,NA,NA,1
277,ADAM1A,1.23575266612392,1,translational_only,NA,NA,1
278,ADAM2,0,1,translational_only,NA,NA,1
279,ADAM20,0,1,translational_only,NA,NA,1
280,ADAM20P1,2.2667237154956,1,both,NA,NA,1
281,ADAM21,3.63404581919847,1,both,NA,NA,1
282,ADAM21P1,-2.3830073523731,1,both,NA,NA,1
283,ADAM22,0.540369785541052,1,translational_only,0.016941789435166,0.427298132170201,-1
284,ADAM23,3.10548981321731,1,both,NA,NA,1
285,ADAM28,0,1,translational_only,NA,NA,1
286,ADAM29,0,1,translational_only,NA,NA,1
287,ADAM30,0,1,translational_only,NA,NA,1
288,ADAM32,0,1,translational_only,NA,NA,1
289,ADAM33,-1.61020324517699,1,both,NA,NA,1
290,ADAM3A,0,1,translational_only,NA,NA,1
291,ADAM5,0,1,translational_only,NA,NA,1
292,ADAM6,0,1,translational_only,NA,NA,1
293,ADAM7,0,1,translational_only,NA,NA,1
294,ADAM8,-0.973692660108616,1,translational_only,NA,NA,1
